repo_key,sha,nodes,edges,clumps,files_in_loops,unresolved_internal,internal_statements,parse_failures,read_failures,skipped_non_identifier,skipped_duplicate,build_seconds,is_pinned
getmoto/moto,c59fee5d352e429309ddce7f8350ef70f2003593,854,2145,10,92,0,2212,0,0,0,0,4.191,False
getmoto/moto,3adbb8136a3ae81f7d5cb403f4d0a3aa100ee16f,808,2009,7,81,0,2065,0,0,0,0,3.972,False
getmoto/moto,b0e78140f5b5f74b0cb3da43e5becc48bbc29cff,766,1797,5,68,0,1850,0,0,0,0,3.275,False
getmoto/moto,b6a582e6244f705c4e3234b25d86e09c2d1d0100,848,2133,10,90,0,2198,0,0,0,0,3.148,False
getmoto/moto,74a59a665a3ffcd6c5c3ff15a6e9759b29a86547,1187,3392,1,259,0,3443,0,0,0,0,4.251,False
getmoto/moto,c457c013056c82b40892aae816b324a3ef9aa1a4,837,2101,10,89,0,2165,0,0,0,0,3.183,False
getmoto/moto,85156f59396a85e83e83200c9df41b66d6f82b68,878,2359,1,252,0,2413,0,0,0,0,3.088,False
getmoto/moto,4aa5e4388d4a9a7d4a95c265552e2d4b4c1ba376,724,1726,6,61,0,1798,0,0,0,0,2.304,False
getmoto/moto,368fa07ec35aa6806c839a1f4883426159179127,869,2200,10,93,0,2266,0,0,0,0,3.036,False
getmoto/moto,6843eb4c86ee0abad140d02930af95050120a0ef,843,2120,9,88,0,2184,0,0,0,0,3.011,False
getmoto/moto,38b7ffade2b2a72a70386e3cd2878f26414b52a8,843,2120,9,88,0,2184,0,0,0,0,2.93,False
getmoto/moto,78c518ddc832a30e1cf20015bc5c3b1850a1c797,848,2132,10,90,0,2197,0,0,0,0,3.339,False
getmoto/moto,bec9130d4c474674ef2beb3cc4acc756aa270793,842,2117,9,88,0,2181,0,0,0,0,3.092,False
getmoto/moto,3a7f10fece9df37a72adc4c642f26cf208256322,800,1972,7,80,0,2026,0,0,0,0,2.778,False
getmoto/moto,4d6271d1bdec1c5eec5789d7c6cc8ef35566d0c2,800,1972,7,80,0,2026,0,0,0,0,2.758,False
getmoto/moto,1a8f93dce33f1c1c7983a8052ef54de30ff64407,779,1917,5,70,0,1971,0,0,0,0,2.744,False
getmoto/moto,b2300f1eae1323e3e8bc45f97e530ce129dff12e,793,1913,6,76,0,1964,0,0,0,0,2.522,False
getmoto/moto,7b4cd492ffa6768dfbd733b3ca5f55548d308d00,837,2101,10,89,0,2165,0,0,0,0,3.275,False
modin-project/modin,35275e1c2d8a420a0fd16e3fca6ae5383fbdbc55,285,703,4,122,0,827,0,0,4,0,1.741,True
modin-project/modin,112afb6fb455beec67c9ded6f42ffbf378bbbf79,333,771,3,142,0,876,0,0,8,0,2.048,False
modin-project/modin,c9f7f6506a5b7503bcd9ec9b9a08d6a008747a52,346,806,3,155,0,907,0,0,10,0,1.503,False
modin-project/modin,b8202f127d79b20076126edce85dd63a59e4a677,333,776,3,143,0,881,0,0,8,0,1.213,False
modin-project/modin,0ba2a46218ecbc6f4b7d0d9e54c25e437e5e0b23,333,774,3,143,0,879,0,0,8,0,1.086,False
modin-project/modin,324099d8737ead092e4acacfe03b1caa82e01986,329,766,2,141,0,868,0,0,8,0,1.521,False
modin-project/modin,f617c5e6621f051d9c7befc297deec79563115db,346,802,3,153,0,902,0,0,10,0,1.553,False
modin-project/modin,a96639529a2e121f24b8c5462e1e76c243b85ede,325,759,2,135,0,875,0,0,8,0,1.45,False
modin-project/modin,d2390100802c808b7ca0f612359b365916d6fec1,326,791,1,179,0,910,0,0,8,0,1.439,False
modin-project/modin,41ecc925c9f7b11e385a16f6b664fa2b15b34edd,333,771,3,142,0,876,0,0,8,0,1.235,False
modin-project/modin,e9dbcc127913db77473a83936e8b6bb94ef84f0d,326,802,1,179,0,921,0,0,8,0,1.339,False
modin-project/modin,60478925aae2ccdcb0bf1666b925a1b0db13a845,345,810,3,158,0,912,0,0,10,0,1.218,False
modin-project/modin,9159d813926816c840e53d6e8ecf43e2765a9e9c,346,800,3,153,0,901,0,0,10,0,1.378,False
modin-project/modin,58f850d20bbb3aba5fc592bff4003ebfdc81b68a,332,760,3,147,0,858,0,0,8,0,1.659,False
modin-project/modin,f601f8a9d602c70333548df3ef5e3c953df04f37,321,753,2,134,0,869,0,0,8,0,1.472,False
modin-project/modin,6d64e08fc8e124b7a6ba2aecd4062dfe7fef90f1,326,795,1,179,0,914,0,0,8,0,1.506,False
modin-project/modin,4ab68c6c4b25f987c259754a5399da5df5b3608f,325,765,1,176,0,883,0,0,8,0,1.247,False
modin-project/modin,e36749008fdf277d08f01c5dc675edb1b8d62512,321,753,2,134,0,869,0,0,8,0,1.363,False
modin-project/modin,76d741bec279305b041ba5689947438884893dad,333,776,3,143,0,881,0,0,8,0,1.37,False
modin-project/modin,6dfe13fb5468c3fbac85e11fcbc9a64b30d14ac7,321,752,2,134,0,868,0,0,8,0,1.279,False
modin-project/modin,8a332c1597c54d36f7ccbbd544e186b689f9ceb1,333,771,3,142,0,876,0,0,8,0,1.596,False
project-monai/monai,a052c4435a088a1e87f2d41279822109edbd59fd,398,1507,8,107,1,1525,0,0,0,0,3.491,True
project-monai/monai,614c2ca8a75a26fd1454810446ec05682d119766,343,1261,8,79,1,1279,0,0,0,0,1.668,False
project-monai/monai,fdec959cc2fbe9f09ed8d95a26bf24a206de8113,249,905,4,58,1,920,0,0,0,0,1.477,False
project-monai/monai,55885283d5055f673fdca5f83156044649e5560c,155,442,4,21,0,452,0,0,0,0,0.726,False
project-monai/monai,d51edc3ddf8450f3c7b612971188313863f9aa25,343,1264,8,79,1,1282,0,0,0,0,1.498,False
project-monai/monai,712d90ba845e3d486f91636da0a4d7eeabfb7e52,217,733,5,45,1,744,0,0,0,0,1.106,False
project-monai/monai,d42f15dd02e88fe0077163db5bb5efeb407c8f35,111,261,1,2,0,263,0,0,0,0,0.188,False
project-monai/monai,790fc8f572322c6a4c1ab527acfb27447be4bb66,215,704,5,45,1,715,0,0,0,0,0.822,False
project-monai/monai,3b6b11a815b2de9e2b1bc1f1dbbca4e66189458f,360,1382,8,97,1,1399,0,0,0,0,1.686,False
project-monai/monai,315d2d2fc29a83fc863bfcb6088e8d06f6cae027,350,1288,8,80,1,1306,0,0,0,0,1.384,False
project-monai/monai,1b73fef49b5df53db984d95ae535cdcc1faf6236,284,1035,5,62,1,1052,0,0,0,0,1.514,False
project-monai/monai,e641722c735961554f8e9d3048836a7e2d5eb184,217,730,5,45,1,743,0,0,0,0,0.764,False
project-monai/monai,3907cb4b6ba79887a649ffc17f45ed9bebcd0431,227,808,5,47,1,821,0,0,0,0,0.893,False
project-monai/monai,27362e482761985daac8d5ef732eb57b50c741f1,339,1243,8,78,1,1261,0,0,0,0,1.64,False
project-monai/monai,5a644e4edcc37e5c963e52fda6fab4c85b3ff02e,369,1412,8,99,1,1430,0,0,0,0,1.94,False
project-monai/monai,a4e4894dca25f5e87b9306abfc472805f92b69da,368,1408,8,99,1,1426,0,0,0,0,2.198,False
project-monai/monai,cc20c9bee91379e10762a15dd0f48c3e78271eb3,370,1419,8,100,1,1437,0,0,0,0,2.438,False
project-monai/monai,cd1e7f3fb4a77a9958d71de7b326323c2f33336b,121,331,1,2,0,335,0,0,7,0,0.344,False
project-monai/monai,c62fac1eeb9cbf59ba3e499c3f612a348b2571da,362,1387,8,98,1,1404,0,0,0,0,1.687,False
project-monai/monai,f9e8e10fab3a0c0b87708222db96571236c9e764,322,1162,5,68,1,1182,0,0,0,0,1.307,False
project-monai/monai,17dde67bbf95991b6c7465724e41653d22972449,196,605,4,41,1,614,0,0,0,0,0.656,False
pydantic/pydantic,7bdfac37dae746d6ee81cfec256657351074ff79,104,462,4,62,0,488,0,0,0,0,0.729,True
pydantic/pydantic,2ea62bd43924e2d91773ffe15791ceac22d376e0,92,385,5,61,0,385,0,0,0,0,0.492,False
pydantic/pydantic,5c8afe65a69d9fb127c32fbf288156d7c13da346,104,451,4,62,0,474,0,0,0,0,0.649,False
pydantic/pydantic,6cbd8d69609bcc5b4b383830736790f9b8087e36,40,147,1,30,0,141,0,0,0,0,0.196,False
pydantic/pydantic,1116c49b09df8156f5c0bd9ccd62f54a809e195f,36,139,1,28,0,138,0,0,0,0,0.153,False
pydantic/pydantic,e131d53a07da080c2ba642775efa9e81cb2cf0ba,103,448,4,62,0,469,0,0,0,0,0.844,False
pydantic/pydantic,0eb31fce2c21fd8f93040caf3bbfce51e37421d5,104,451,4,62,0,473,0,0,0,0,0.716,False
pydantic/pydantic,ef3cc495a9c86553b62a95a6052fd9b6ebc045e9,177,268,1,18,2,274,0,0,0,0,0.272,False
pydantic/pydantic,e4fa099d5adde70acc80238ff810c87a5cec7ebf,103,445,4,62,0,466,0,0,0,0,0.892,False
pydantic/pydantic,e58134b876a340863ea417f6c7967c9ed14ec03b,104,452,4,62,0,476,0,0,0,0,0.732,False
pydantic/pydantic,78f0ce65295bba764784da15eca83173f9ccf9b6,94,412,5,61,0,408,0,0,0,0,1.005,False
pydantic/pydantic,3fda9d65ee69dd1ba97d1fdf08caa9dcc5e58e2b,104,450,4,62,0,472,0,0,0,0,0.438,False
pydantic/pydantic,84d0acf6882958993a6e0d984969030e31f16dc0,182,304,1,28,2,305,0,0,0,0,0.28,False
pydantic/pydantic,77b0e1ccd775c101be28b5dfa56bc36f1eed7eca,105,455,4,62,0,480,0,0,0,0,0.755,False
pydantic/pydantic,13aefcf109adeba4d3d1e023d42f0e3d8e053f77,92,386,5,61,0,384,0,0,0,0,0.899,False
pydantic/pydantic,7af856a1098406aea84bcadfd0f3de6b7901526c,105,453,4,62,0,478,0,0,0,0,0.445,False
pydantic/pydantic,e9346383abc00306caabc61fba0c45c3ad5b9833,104,452,4,62,0,476,0,0,0,0,0.708,False
pydantic/pydantic,575dcd98d7cdc49d1427df8101f473ae6ced148e,101,434,4,61,0,454,0,0,0,0,0.631,False
pydantic/pydantic,f50ae9f282c29e460563829d40d9eeffcf87e479,61,198,1,36,0,190,0,0,0,0,0.276,False
pydantic/pydantic,9cfad5c3cee6a31d2bcb410feffff2afc4d0c489,93,393,5,61,0,392,0,0,0,0,0.405,False
qutebrowser/qutebrowser,e158a480f52185c77ee07a52bc022f021d9789fe,251,1594,1,167,0,964,0,0,0,1,1.127,True
qutebrowser/qutebrowser,1547a48e6f1a8af8dc618d5afe858084ebfd317f,229,1193,1,130,0,617,0,0,0,1,0.998,False
qutebrowser/qutebrowser,f8692cb141776c3567e35f9032e9892bf0a7cfc9,225,1140,1,124,0,599,0,0,0,1,1.087,False
qutebrowser/qutebrowser,04c65bb2b72542b239de2491c9242d8f641636db,210,983,1,108,0,507,0,0,0,1,0.877,False
qutebrowser/qutebrowser,3ae5cc96aecb12008345f45bd7d06dbc52e48fa7,208,968,1,108,0,500,0,0,0,1,0.868,False
qutebrowser/qutebrowser,190bab127d9e8421940f5f3fdc738d1c7ec02193,215,1093,1,124,0,572,0,0,0,1,1.048,False
qutebrowser/qutebrowser,487f90443cd1bf66bf2368b7a5c004f4e1b27777,223,1135,1,123,0,597,0,0,0,1,1.01,False
qutebrowser/qutebrowser,a7e6a3a178a8e06909d26990295a014802371f50,247,1506,1,145,0,924,0,0,0,1,1.273,False
qutebrowser/qutebrowser,744cd94469de77f52905bebb123597c040ac07b6,225,1146,1,124,0,600,0,0,0,1,0.919,False
qutebrowser/qutebrowser,03fa9383833c6262b08a5f7c4930143e39327173,228,1187,1,130,0,615,0,0,0,1,1.429,False
qutebrowser/qutebrowser,7691556ea171c241eabb76e65c64c90dfc354327,248,1524,1,146,0,937,0,0,0,1,1.124,False
qutebrowser/qutebrowser,e15bda307e42c288b926f578e7bf8c610e4767af,228,1210,1,145,0,626,0,0,0,1,0.811,False
qutebrowser/qutebrowser,b84ef9b299ec1639ddf79ab900b670a96d71d9f2,225,1146,1,124,0,600,0,0,0,1,1.178,False
qutebrowser/qutebrowser,5a7f64ea219f3f008a4b61546ae18820e6780d8e,223,1140,1,124,0,592,0,0,0,1,1.085,False
qutebrowser/qutebrowser,836221ecaf2bad121c741b0c41dff508049e8ca5,247,1505,1,145,0,924,0,0,0,1,1.485,False
qutebrowser/qutebrowser,b9920503db6482f0d3af7e95b3cf3c71fbbd7d4f,228,1211,1,145,0,626,0,0,0,1,1.196,False
qutebrowser/qutebrowser,8e08f046aeffb38445cc659050f7a083b4a9649c,225,1146,1,124,0,600,0,0,0,1,1.143,False
qutebrowser/qutebrowser,a55f4db26b4b1caa304dd4b842a4103445fdccc7,212,1005,1,111,0,521,0,0,0,1,0.721,False
qutebrowser/qutebrowser,cb59619327e7fa941087d62b83459750c1b7c579,213,1044,2,122,0,541,0,0,0,1,0.798,False
qutebrowser/qutebrowser,c97257cac01d9f7d67fb42d0344cb4332c7a0833,226,1203,1,143,0,621,0,0,0,1,0.783,False
