repo_key,eligible_1_10,eligible_2_10,repo,datasets,tasks_all,date_min,date_max,licence_dataset,provisional_sha,fetch_seconds,measure_seconds,files_total,py_files,nontest_py_files,test_py_files,code_lines_nontest_nonvendor,py_lines_nontest_nonvendor,python_share,vendored_code_lines,generated_code_lines,generated_or_vendored_share,ipynb_files,packaging_files,packaging_paths,licence_files,count_errors,pygount_generated_files,pygount_binary_files,checkout_mb
beetbox/beets,28,9,beetbox/beets,swebench_live_full;swerebench_filtered,30,2017-12-30 20:15:22+00:00,2025-07-21 11:00:12+00:00,MIT License,60f24cdc742ef650df4bedc88b7db80bf163ac16,2.6,2.9,437.0,199.0,122.0,77.0,30261.0,24126.0,0.7973,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,6.6
beeware/briefcase,54,15,beeware/briefcase,swebench_live_full;swerebench_filtered,56,2021-11-16 12:40:37+00:00,2025-06-25 18:16:38+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",589adce8a799c2afd2e819dfc0730d0bdb03a145,4.5,1.3,641.0,511.0,76.0,435.0,10812.0,10812.0,1.0,0.0,0.0,0.0,0.0,2.0,automation/pyproject.toml;pyproject.toml,LICENSE,0.0,1.0,0.0,5.8
bids-standard/pybids,12,4,bids-standard/pybids,swerebench_filtered,13,2018-12-18 03:02:51+00:00,2023-08-21 15:13:02+00:00,MIT License,5ea3103b6dada5d3fd02cdec7d6498817d76f366,3.2,5.8,5735.0,76.0,45.0,29.0,6710.0,6604.0,0.9842,1477.0,0.0,0.1804,3.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,6.7
bokeh/bokeh,24,9,bokeh/bokeh,swegym;swerebench_filtered,27,2017-06-06 17:16:35+00:00,2024-04-04 08:24:49+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",ca55dcb3d7e7c84de42363c860225d40cd864ec3,7.8,11.6,5640.0,1271.0,931.0,340.0,127179.0,38966.0,0.3064,97.0,0.0,0.0008,6.0,2.0,pyproject.toml;setup.py,LICENSE.txt,0.0,0.0,0.0,59.0
borgbackup/borg,23,11,borgbackup/borg,swerebench_filtered,23,2017-05-17 17:34:07+00:00,2024-09-29 13:57:21+00:00,BSD License,5a87b41e370b2f18b7b9d75a3cca98e8a32768d2,3.0,2.8,397.0,148.0,147.0,1.0,30969.0,26831.0,0.8664,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,4.4
bridgecrewio/checkov,38,13,bridgecrewio/checkov,swebench_live_full;swerebench_filtered,44,2020-03-30 12:33:23+00:00,2025-05-22 04:18:55+00:00,Apache License 2.0,342c86dd97b8b75a077007586c8bd91abe962bfe,10.4,15.6,9744.0,4550.0,2491.0,2058.0,78161.0,74083.0,0.9478,3.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,69.2
burnash/gspread,17,6,burnash/gspread,swerebench_filtered,18,2018-02-03 23:44:43+00:00,2024-06-24 00:31:11+00:00,MIT License,d606420d36e70927e3b9e5162774c4e01cf25998,3.3,0.9,175.0,18.0,11.0,7.0,2467.0,2467.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.txt,0.0,1.0,0.0,8.5
canonical/charmcraft,21,3,canonical/charmcraft,swerebench_filtered,21,2022-02-23 08:38:29+00:00,2025-01-22 18:02:02+00:00,Apache License 2.0,389f8ca582592c9a65a19ffa0d522a677174f094,4.2,1.4,528.0,186.0,81.0,105.0,7661.0,7519.0,0.9815,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,2.4
canonical/operator,12,2,canonical/operator,swerebench_filtered,12,2020-07-20 14:56:09+00:00,2024-11-19 23:49:46+00:00,Apache License 2.0,3fb8548682605046c7e8b9c9153b93c491141b30,4.3,2.7,162.0,88.0,29.0,59.0,9656.0,9625.0,0.9968,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.txt,0.0,0.0,0.0,2.2
cekit/cekit,15,6,cekit/cekit,swerebench_filtered,15,2018-05-04 12:31:36+00:00,2024-02-28 10:54:15+00:00,MIT License,28085ffa956a65589e59d3b9ade4cc60a76e5e74,4.7,1.1,252.0,72.0,50.0,22.0,4066.0,4066.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,0.0,0.0,1.2
cloud-custodian/cloud-custodian,11,5,cloud-custodian/cloud-custodian,swebench_live_full;swerebench_filtered,12,2019-09-23 13:39:59+00:00,2025-07-09 22:58:49+00:00,Apache License 2.0,9a38db80b0ad2947e0e6a5dcc67577872f2524bc,5.7,11.1,11833.0,1051.0,626.0,422.0,78502.0,78032.0,0.994,69.0,0.0,0.0009,0.0,24.0,pyproject.toml;tools/c7n_awscc/pyproject.toml;tools/c7n_azure/pyproject.toml;tools/c7n_gcp/pyproject.toml;tools/c7n_guardian/setup.py;tools/c7n_kube/pyproject.toml;tools/c7n_left/pyproject.toml;tools/c7n_logexporter/pyproject.toml;tools/c7n_mailer/pyproject.toml;tools/c7n_oci/pyproject.toml,LICENSE,0.0,1.0,0.0,54.4
conan-io/conan,263,103,conan-io/conan,swebench_live_full;swegym;swerebench_filtered,272,2018-04-02 15:07:40+00:00,2025-08-28 09:51:31+00:00,MIT License,f4513c503371e5c5c6ba7ac27603bcc7cb0b89ff,3.6,2.7,1114.0,1071.0,508.0,563.0,33889.0,33889.0,1.0,0.0,6.0,0.0002,0.0,2.0,pyproject.toml;setup.py,LICENSE.md,0.0,0.0,0.0,7.2
core-gatech-group/serpent-tools,10,4,CORE-GATECH-GROUP/serpent-tools,swerebench_filtered,10,2017-10-05 20:12:21+00:00,2021-05-14 18:34:11+00:00,MIT License,f7eb3e1c843f7d2506fe7ffa378584d7602a3bb9,3.8,5.8,244.0,88.0,48.0,40.0,22602.0,5711.0,0.2527,0.0,106.0,0.0047,10.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,17.7
cwacek/python-jsonschema-objects,11,3,cwacek/python-jsonschema-objects,swerebench_filtered,12,2017-10-07 21:49:59+00:00,2024-11-12 02:37:52+00:00,MIT License,6cf6fc1e8fc1f7d0804b8f0db6b04962bf66a9b4,2.3,0.9,75.0,49.0,15.0,34.0,2751.0,2751.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,0.3
dask/dask,203,63,dask/dask,swegym;swerebench_filtered,206,2017-01-11 00:12:14+00:00,2025-03-03 16:20:15+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",0e1418f02576c81d80c96e9fbed31257345a9e5f,7.3,3.8,616.0,360.0,183.0,177.0,51030.0,50810.0,0.9957,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE.txt,0.0,1.0,0.0,19.2
deepset-ai/haystack,97,36,deepset-ai/haystack,swebench_live_full;swerebench_filtered,104,2023-09-01 15:12:19+00:00,2025-08-28 11:19:37+00:00,Apache License 2.0,41b7ed4f472b7c26cc6cb879e8fda1197b422f49,3.4,1.9,1520.0,487.0,265.0,222.0,18988.0,18978.0,0.9995,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE;license-header.txt;licenserc.toml,0.0,0.0,0.0,12.3
delgan/loguru,11,3,Delgan/loguru,swebench_live_full;swerebench_filtered,11,2023-04-22 15:28:35+00:00,2025-02-20 00:59:01+00:00,MIT License,3cfd03fb6fd2176b90ad14223408f3c4ec803cb6,2.5,1.1,307.0,168.0,20.0,148.0,3249.0,2867.0,0.8824,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,1.5
django-json-api/django-rest-framework-json-api,11,2,django-json-api/django-rest-framework-json-api,swebench_live_full;swerebench_filtered,11,2020-10-15 14:43:03+00:00,2025-08-20 14:22:30+00:00,"BSD 2-Clause ""Simplified"" License",142c76edadf7bf4d6c6692da307c03355103b1f6,2.0,1.1,124.0,87.0,50.0,37.0,3228.0,3228.0,1.0,0.0,161.0,0.0499,0.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,0.5
django/django,840,172,django/django,swebench_full,850,2015-08-19 10:02:04+00:00,2023-07-17 20:28:41+00:00,,4a72da71001f154ea60906a2f74898d32b7322a7,5.2,9.9,6712.0,2752.0,870.0,1882.0,91824.0,89522.0,0.9749,11363.0,0.0,0.1101,0.0,2.0,pyproject.toml;setup.py,LICENSE;LICENSE.python,0.0,0.0,0.0,42.6
dlr-eoc/ukis-pysat,13,4,dlr-eoc/ukis-pysat,swerebench_filtered,13,2020-05-26 12:55:18+00:00,2020-09-28 09:34:35+00:00,Apache License 2.0,b819ed271462f153c1a411123fc4d42f9628629e,2.1,0.3,60.0,10.0,7.0,3.0,756.0,756.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE.txt,0.0,0.0,0.0,3.6
docker/docker-py,11,5,docker/docker-py,swerebench_filtered,11,2016-07-28 01:43:06+00:00,2023-12-17 15:00:52+00:00,Apache License 2.0,6ceb08273c157cbab7b5c77bd71e7389f1a6acc5,2.1,1.2,198.0,136.0,69.0,67.0,6280.0,6250.0,0.9952,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,1.2
dpkp/kafka-python,11,5,dpkp/kafka-python,swebench_live_full;swerebench_filtered,13,2017-03-13 17:32:28+00:00,2025-05-22 15:49:24+00:00,Apache License 2.0,48dd596462be5fc7cda004c85b26db823c184a39,2.5,1.8,326.0,164.0,125.0,34.0,17700.0,17700.0,1.0,1584.0,0.0,0.0821,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,2.1
dwavesystems/dimod,17,8,dwavesystems/dimod,swerebench_filtered,19,2018-04-09 20:45:34+00:00,2019-08-30 02:08:12+00:00,Apache License 2.0,f67f48677202adffea7a5484e021e2599177b238,2.2,1.1,134.0,91.0,56.0,35.0,5015.0,4006.0,0.7988,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,1.0
dwavesystems/dwave-cloud-client,15,4,dwavesystems/dwave-cloud-client,swerebench_filtered,15,2018-12-21 02:35:57+00:00,2024-08-06 16:30:11+00:00,Apache License 2.0,1f590ecc41eef194096f54022475a3bcd762ac8e,2.0,1.3,198.0,81.0,49.0,32.0,5711.0,5690.0,0.9963,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,2.7
elastic/rally,15,7,elastic/rally,swerebench_filtered,15,2018-03-08 13:23:20+00:00,2023-02-22 12:19:31+00:00,Apache License 2.0,6915655f2ebf11311db54ebd2014c942110e77e2,2.3,2.6,268.0,122.0,63.0,59.0,17085.0,16585.0,0.9707,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,3.7
encode/httpx,25,13,encode/httpx,swerebench_filtered,25,2019-08-15 03:27:04+00:00,2024-11-22 11:08:38+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",189fc4bcbe5f314128775dec66a616ac9a31ad48,3.2,1.4,125.0,60.0,23.0,37.0,5123.0,5123.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.md,0.0,0.0,0.0,5.2
encode/starlette,29,4,encode/starlette,swebench_live_full;swerebench_filtered,30,2018-11-08 00:23:17+00:00,2025-03-16 12:14:29+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",c8a46925366361e40b65b117473db1342895b904,2.3,1.5,124.0,66.0,34.0,32.0,4783.0,4783.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.md,0.0,0.0,0.0,3.5
ethereum/web3.py,14,11,ethereum/web3.py,swerebench_filtered,14,2023-09-20 20:14:35+00:00,2025-02-04 18:39:15+00:00,MIT License,0b6239f89c934d3c81d18d2c39747f1fd21cab88,3.6,2.0,448.0,350.0,172.0,178.0,24058.0,24014.0,0.9982,0.0,284.0,0.0118,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,10.1
facebookresearch/hydra,63,23,facebookresearch/hydra,swebench_live_full;swegym,68,2020-05-26 20:04:06+00:00,2025-01-06 16:59:50+00:00,,0ede84058e57a40260a93ae4f9abe08a572b23e0,3.1,2.0,1525.0,437.0,232.0,205.0,12499.0,12191.0,0.9754,0.0,0.0,0.0,3.0,27.0,contrib/hydra_torchrun_launcher/setup.py;examples/advanced/hydra_app_example/setup.py;examples/plugins/example_configsource_plugin/setup.py;examples/plugins/example_generic_plugin/setup.py;examples/plugins/example_launcher_plugin/setup.py;examples/plugins/example_registered_plugin/setup.py;examples/plugins/example_searchpath_plugin/setup.py;examples/plugins/example_sweeper_plugin/setup.py;plugins/hydra_ax_sweeper/pyproject.toml;plugins/hydra_ax_sweeper/setup.py,LICENSE,0.0,1.0,0.0,7.8
facelessuser/pymdown-extensions,16,10,facelessuser/pymdown-extensions,swebench_live_full;swerebench_filtered,17,2020-05-11 01:42:40+00:00,2025-05-28 18:58:48+00:00,MIT License,fbf4bf22da3bc864f24b4ee6a2c05b145fb6c304,2.6,1.7,378.0,90.0,52.0,38.0,6900.0,6355.0,0.921,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.md,0.0,3.0,0.0,6.1
falconry/falcon,20,10,falconry/falcon,swebench_live_full;swerebench_filtered,22,2017-01-27 00:42:54+00:00,2025-07-22 15:24:51+00:00,Apache License 2.0,c8e7d1dd5af65939d30d88a0fbc6aa2f2c920935,2.7,1.7,433.0,264.0,154.0,110.0,11999.0,11456.0,0.9547,0.0,21.0,0.0018,0.0,3.0,falcon/bench/nuts/setup.py;pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,4.2
fatal1ty/mashumaro,14,7,Fatal1ty/mashumaro,swerebench_filtered,14,2023-06-14 20:10:39+00:00,2024-04-28 21:20:10+00:00,Apache License 2.0,c076075516af07c0bb552b1a388019380f8d76ae,1.9,0.9,165.0,140.0,76.0,64.0,7271.0,7222.0,0.9933,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,0.9
feder-observatory/stellarphot,13,2,feder-observatory/stellarphot,swerebench_filtered,14,2023-12-22 21:42:38+00:00,2024-10-12 16:53:31+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",adc4858fef2a9b3f828903752b8f846da16e81b0,2.8,1.2,166.0,80.0,47.0,33.0,5530.0,5530.0,1.0,0.0,0.0,0.0,17.0,1.0,pyproject.toml,LICENSE.rst,0.0,0.0,0.0,2.4
fitbenchmarking/fitbenchmarking,22,12,fitbenchmarking/fitbenchmarking,swerebench_filtered,22,2019-11-27 12:33:32+00:00,2025-03-18 20:03:00+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",82716374bf37f0fe0e6f6a5fc5cc14fa7d036976,17.5,2.1,1158.0,171.0,121.0,50.0,9591.0,8800.0,0.9175,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.txt,0.0,1.0,0.0,144.1
fonttools/fonttools,15,6,fonttools/fonttools,swebench_live_full,15,2024-01-24 12:15:46+00:00,2025-08-18 10:05:57+00:00,,7b50bde2ee3ac6c9e1936ea8c5351ffd84e4606c,3.5,4.9,2569.0,525.0,357.0,168.0,73990.0,73990.0,1.0,0.0,2804.0,0.0379,1.0,2.0,pyproject.toml;setup.py,LICENSE;LICENSE.external,0.0,1.0,0.0,21.3
frictionlessdata/frictionless-py,21,10,frictionlessdata/frictionless-py,swerebench_filtered,22,2020-09-28 11:38:52+00:00,2022-06-21 09:09:46+00:00,MIT License,33bfb1d99595667202aaa6fa01e54f4865e4c2fa,4.1,1.6,995.0,492.0,249.0,243.0,11934.0,11341.0,0.9503,0.0,0.0,0.0,6.0,2.0,pyproject.toml;setup.py,LICENSE.md,0.0,0.0,0.0,38.7
fsspec/filesystem_spec,21,8,fsspec/filesystem_spec,swebench_live_full;swerebench_filtered,22,2021-11-21 10:54:58+00:00,2025-07-25 11:11:09+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",81a5fd53cb17c3c1fffb9661d1563ea2d62b6d71,2.3,1.9,151.0,109.0,47.0,62.0,11066.0,11061.0,0.9995,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,1.0,0.0,8.8
genericmappingtools/pygmt,13,4,GenericMappingTools/pygmt,swerebench_filtered,14,2020-09-02 01:39:18+00:00,2022-06-15 14:44:10+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",1067fa316b214d470f26f4affba743a4835a53c8,3.4,1.1,500.0,239.0,167.0,72.0,6264.0,6223.0,0.9935,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE.txt,0.0,0.0,0.0,4.6
geopandas/geopandas,40,6,geopandas/geopandas,swebench_live_full;swerebench_filtered,40,2019-10-18 17:41:50+00:00,2025-06-22 17:06:00+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",a266d565b605ec3e7ccb86b52e7231ebcc7778c0,3.7,1.9,391.0,87.0,45.0,42.0,8032.0,8007.0,0.9969,0.0,0.0,0.0,18.0,2.0,pyproject.toml;setup.py,LICENSE.txt,0.0,1.0,0.0,12.4
getmoto/moto,320,144,getmoto/moto,swegym,343,2022-01-24 00:56:09+00:00,2024-04-30 19:03:32+00:00,,98ad497eb4de25943ceadabe7c2c5c73cc810e27,3.9,9.4,2568.0,2064.0,1204.0,860.0,176417.0,176218.0,0.9989,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,2.0,0.0,55.1
getsentry/responses,13,0,getsentry/responses,swerebench_filtered,13,2018-12-05 20:36:38+00:00,2024-08-31 20:01:19+00:00,Apache License 2.0,b68e51388e08399a8828633910eac49d6fd35e2b,2.0,0.3,32.0,11.0,5.0,6.0,1211.0,1199.0,0.9901,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,0.0,0.0,0.3
getsentry/sentry-python,15,6,getsentry/sentry-python,swerebench_filtered,17,2021-03-11 17:48:25+00:00,2025-04-02 10:52:44+00:00,MIT License,2c3776c582a23b6936c76ef53008bf63f861b6fd,3.0,2.0,476.0,390.0,155.0,235.0,20943.0,20821.0,0.9942,0.0,0.0,0.0,0.0,3.0,pyproject.toml;scripts/test-lambda-locally/pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,3.2
google/flax,14,5,google/flax,swerebench_filtered,15,2023-02-02 20:13:08+00:00,2025-04-15 01:12:55+00:00,Apache License 2.0,32ad6c57a6f2c09080e9746b903addcb5c2b226c,4.0,2.4,597.0,322.0,219.0,103.0,32709.0,32510.0,0.9939,0.0,0.0,0.0,33.0,2.0,flaxlib_src/pyproject.toml;pyproject.toml,LICENSE,0.0,0.0,0.0,10.9
google/mobly,10,5,google/mobly,swerebench_filtered,10,2017-02-28 17:06:35+00:00,2022-05-16 10:48:42+00:00,Apache License 2.0,c6145d2d18b6594420e5fa2ca95123d38e4b10ff,2.2,1.0,125.0,99.0,50.0,49.0,4014.0,4014.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,1.1
googleapis/python-storage,22,4,googleapis/python-storage,swerebench_filtered,23,2020-02-13 01:37:29+00:00,2024-12-11 16:58:59+00:00,Apache License 2.0,6aef9b7bf17c3ff50518e90c688f1b08a1b90f6d,3.7,1.7,375.0,225.0,160.0,65.0,9671.0,9242.0,0.9556,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,0.0,0.0,10.2
hgrecco/pint,33,11,hgrecco/pint,swebench_live_full;swerebench_filtered,34,2018-04-13 17:39:43+00:00,2025-08-05 15:17:46+00:00,BSD,16775fdc99688c4afd7954f51e1d61b9a491ab09,2.3,1.3,178.0,109.0,72.0,37.0,8847.0,8847.0,1.0,0.0,0.0,0.0,1.0,1.0,pyproject.toml,LICENSE,0.0,1.0,0.0,1.3
hylang/hy,20,4,hylang/hy,swerebench_filtered,20,2017-05-16 23:42:41+00:00,2023-10-16 14:36:34+00:00,MIT License,fa639893e5b56e3f3cc9f6ed46fd654dfaf35754,2.3,1.3,168.0,42.0,24.0,18.0,4668.0,4668.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,0.0,0.0,1.0
hynek/structlog,10,2,hynek/structlog,swebench_live_full;swerebench_filtered,10,2017-05-13 05:52:50+00:00,2025-04-16 20:28:51+00:00,Apache License 2.0 or MIT License,de3dfc8dce7c31c73064db5fdee7322f2b5f112b,2.4,0.9,116.0,46.0,23.0,23.0,2720.0,2720.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE-APACHE;LICENSE-MIT,0.0,0.0,0.0,2.0
iamconsortium/nomenclature,14,8,IAMconsortium/nomenclature,swerebench_filtered,14,2023-09-25 15:17:13+00:00,2025-02-19 10:19:32+00:00,Apache License 2.0,e3541cc7eadb769f1a878213a1bc8c6e5e271fee,2.1,0.9,274.0,40.0,21.0,19.0,2441.0,2441.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,0.9
ibis-project/ibis,10,3,ibis-project/ibis,swebench_live_full;swerebench_filtered,11,2022-10-18 15:09:26+00:00,2025-07-27 15:40:00+00:00,Apache License 2.0,8641087cbfdb847bf5f1e9e3fd920be55bf659c7,9.2,4.4,2380.0,554.0,195.0,359.0,44137.0,41616.0,0.9429,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.txt,0.0,0.0,0.0,103.8
instructlab/instructlab,42,22,instructlab/instructlab,swebench_live_full,52,2024-03-07 00:06:35+00:00,2025-02-25 07:40:04+00:00,,2fffc620651d6d22c3279a1a6aac302146b97036,4.0,1.5,341.0,150.0,108.0,42.0,14797.0,12927.0,0.8736,0.0,0.0,0.0,1.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,30.3
internetarchive/openlibrary,67,43,internetarchive/openlibrary,swebench_pro,91,,,,de903b9535d53122d655590f238a78e217a6c770,13.1,3.5,1790.0,388.0,262.0,126.0,50217.0,35458.0,0.7061,0.0,89.0,0.0018,0.0,3.0,pyproject.toml;scripts/solr_builder/setup.py;setup.py,LICENSE,0.0,0.0,0.0,25.9
ipython/ipython,24,10,ipython/ipython,swebench_live_full;swerebench_filtered,25,2018-10-15 01:28:16+00:00,2025-08-26 17:28:34+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",1460cef36a6e15915af6a2aa57f3384cc05693bb,4.4,2.1,473.0,294.0,183.0,107.0,26361.0,26104.0,0.9903,459.0,65.0,0.0195,0.0,2.0,pyproject.toml;setup.py,COPYING.rst;LICENSE,0.0,1.0,0.0,7.5
