repo_key,eligible_1_10,eligible_2_10,repo,datasets,tasks_all,date_min,date_max,licence_dataset,provisional_sha,fetch_seconds,measure_seconds,files_total,py_files,nontest_py_files,test_py_files,code_lines_nontest_nonvendor,py_lines_nontest_nonvendor,python_share,vendored_code_lines,generated_code_lines,generated_or_vendored_share,ipynb_files,packaging_files,packaging_paths,licence_files,count_errors,pygount_generated_files,pygount_binary_files,checkout_mb,fork,archived,licence_spdx,description,parent,stargazers_count,topics,measured,R2_python_share,R3_min_files,R5_licence,X_fork,X_notebooks,X_generated_vendored,flag_monorepo_check,passes_R2_R3_R5_X,python_share_b,nontest_py_files_b,passes_variant_b
beetbox/beets,28,9,beetbox/beets,swebench_live_full;swerebench_filtered,30,2017-12-30 20:15:22+00:00,2025-07-21 11:00:12+00:00,MIT License,60f24cdc742ef650df4bedc88b7db80bf163ac16,2.6,2.9,437.0,199.0,122.0,77.0,30261.0,24126.0,0.7973,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,6.6,False,False,MIT,music library manager and MusicBrainz tagger,,15687.0,"['cli', 'hacktoberfest', 'music', 'music-library', 'musicbrainz', 'python']",True,False,True,True,False,False,False,False,False,0.7915,113.0,False
beeware/briefcase,54,15,beeware/briefcase,swebench_live_full;swerebench_filtered,56,2021-11-16 12:40:37+00:00,2025-06-25 18:16:38+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",589adce8a799c2afd2e819dfc0730d0bdb03a145,4.5,1.3,641.0,511.0,76.0,435.0,10812.0,10812.0,1.0,0.0,0.0,0.0,0.0,2.0,automation/pyproject.toml;pyproject.toml,LICENSE,0.0,1.0,0.0,5.8,False,False,BSD-3-Clause,Tools to support converting a Python project into a standalone native application.,,3348.0,"['application', 'python']",True,True,True,True,False,False,False,False,True,1.0,76.0,True
bids-standard/pybids,12,4,bids-standard/pybids,swerebench_filtered,13,2018-12-18 03:02:51+00:00,2023-08-21 15:13:02+00:00,MIT License,5ea3103b6dada5d3fd02cdec7d6498817d76f366,3.2,5.8,5735.0,76.0,45.0,29.0,6710.0,6604.0,0.9842,1477.0,0.0,0.1804,3.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,6.7,False,False,MIT,Python tools for querying and manipulating BIDS datasets.,,268.0,"['api', 'bids', 'python']",True,True,False,True,False,False,False,False,False,0.9842,45.0,False
bokeh/bokeh,24,9,bokeh/bokeh,swegym;swerebench_filtered,27,2017-06-06 17:16:35+00:00,2024-04-04 08:24:49+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",ca55dcb3d7e7c84de42363c860225d40cd864ec3,7.8,11.6,5640.0,1271.0,931.0,340.0,127179.0,38966.0,0.3064,97.0,0.0,0.0008,6.0,2.0,pyproject.toml;setup.py,LICENSE.txt,0.0,0.0,0.0,59.0,False,False,BSD-3-Clause,"Interactive Data Visualization in the browser, from  Python",,20456.0,"['bokeh', 'data-visualisation', 'interactive-plots', 'javascript', 'jupyter', 'notebooks', 'numfocus', 'plots', 'plotting', 'python', 'visualisation', 'visualization']",True,False,True,True,False,False,False,False,False,0.4008,931.0,False
borgbackup/borg,23,11,borgbackup/borg,swerebench_filtered,23,2017-05-17 17:34:07+00:00,2024-09-29 13:57:21+00:00,BSD License,5a87b41e370b2f18b7b9d75a3cca98e8a32768d2,3.0,2.8,397.0,148.0,147.0,1.0,30969.0,26831.0,0.8664,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,4.4,False,False,NOASSERTION,Deduplicating archiver with compression and authenticated encryption.,,13746.0,"['backup', 'borgbackup', 'compression', 'deduplication', 'encryption', 'python', 'ssh']",True,True,True,True,False,False,False,False,True,0.9738,147.0,True
bridgecrewio/checkov,38,13,bridgecrewio/checkov,swebench_live_full;swerebench_filtered,44,2020-03-30 12:33:23+00:00,2025-05-22 04:18:55+00:00,Apache License 2.0,342c86dd97b8b75a077007586c8bd91abe962bfe,10.4,15.6,9744.0,4550.0,2491.0,2058.0,78161.0,74083.0,0.9478,3.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,69.2,False,False,Apache-2.0,"Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew.",,9019.0,"['aws', 'aws-security', 'azure', 'cloudformation', 'compliance', 'devops', 'gcp', 'hacktoberfest', 'infrastructure-as-code', 'kubernetes', 'scans', 'static-analysis', 'terraform']",True,True,True,True,False,False,False,False,True,0.9492,2491.0,True
burnash/gspread,17,6,burnash/gspread,swerebench_filtered,18,2018-02-03 23:44:43+00:00,2024-06-24 00:31:11+00:00,MIT License,d606420d36e70927e3b9e5162774c4e01cf25998,3.3,0.9,175.0,18.0,11.0,7.0,2467.0,2467.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.txt,0.0,1.0,0.0,8.5,False,False,MIT,Google Sheets Python API,,7507.0,"['google-sheets', 'google-sheets-api', 'google-sheets-api-v4', 'gspread', 'spreadsheet', 'spreadsheets']",True,True,False,True,False,False,False,False,False,1.0,11.0,False
canonical/charmcraft,21,3,canonical/charmcraft,swerebench_filtered,21,2022-02-23 08:38:29+00:00,2025-01-22 18:02:02+00:00,Apache License 2.0,389f8ca582592c9a65a19ffa0d522a677174f094,4.2,1.4,528.0,186.0,81.0,105.0,7661.0,7519.0,0.9815,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,0.0,0.0,2.4,False,False,Apache-2.0,"Collaborate, build and publish charmed operators for Kubernetes, Linux and Windows.",,89.0,[],True,True,True,True,False,False,False,False,True,0.9815,81.0,True
canonical/operator,12,2,canonical/operator,swerebench_filtered,12,2020-07-20 14:56:09+00:00,2024-11-19 23:49:46+00:00,Apache License 2.0,3fb8548682605046c7e8b9c9153b93c491141b30,4.3,2.7,162.0,88.0,29.0,59.0,9656.0,9625.0,0.9968,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.txt,0.0,0.0,0.0,2.2,False,False,Apache-2.0,Pure Python framework for writing Juju charms.,,267.0,"['charms', 'juju', 'python']",True,True,False,True,False,False,False,False,False,0.9966,23.0,False
cekit/cekit,15,6,cekit/cekit,swerebench_filtered,15,2018-05-04 12:31:36+00:00,2024-02-28 10:54:15+00:00,MIT License,28085ffa956a65589e59d3b9ade4cc60a76e5e74,4.7,1.1,252.0,72.0,50.0,22.0,4066.0,4066.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,0.0,0.0,1.2,False,False,MIT,CEKit - Container Evolution Kit,,113.0,"['buildah', 'container', 'docker', 'osbs', 'podman']",True,True,True,True,False,False,False,False,True,1.0,46.0,False
cloud-custodian/cloud-custodian,11,5,cloud-custodian/cloud-custodian,swebench_live_full;swerebench_filtered,12,2019-09-23 13:39:59+00:00,2025-07-09 22:58:49+00:00,Apache License 2.0,9a38db80b0ad2947e0e6a5dcc67577872f2524bc,5.7,11.1,11833.0,1051.0,626.0,422.0,78502.0,78032.0,0.994,69.0,0.0,0.0009,0.0,24.0,pyproject.toml;tools/c7n_awscc/pyproject.toml;tools/c7n_azure/pyproject.toml;tools/c7n_gcp/pyproject.toml;tools/c7n_guardian/setup.py;tools/c7n_kube/pyproject.toml;tools/c7n_left/pyproject.toml;tools/c7n_logexporter/pyproject.toml;tools/c7n_mailer/pyproject.toml;tools/c7n_oci/pyproject.toml,LICENSE,0.0,1.0,0.0,54.4,False,False,Apache-2.0,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources",,6066.0,"['aws', 'azure', 'cloud', 'cloud-computing', 'compliance', 'finops', 'gcp', 'kubernetes', 'management', 'oci', 'rules-engine', 'serverless', 'tencent-cloud', 'terraform']",True,True,True,True,False,False,False,True,True,0.994,626.0,True
conan-io/conan,263,103,conan-io/conan,swebench_live_full;swegym;swerebench_filtered,272,2018-04-02 15:07:40+00:00,2025-08-28 09:51:31+00:00,MIT License,f4513c503371e5c5c6ba7ac27603bcc7cb0b89ff,3.6,2.7,1114.0,1071.0,508.0,563.0,33889.0,33889.0,1.0,0.0,6.0,0.0002,0.0,2.0,pyproject.toml;setup.py,LICENSE.md,0.0,0.0,0.0,7.2,False,False,MIT,Conan - The open-source C and C++ package manager,,9523.0,"['c', 'cmake', 'conan', 'cplusplus', 'cpp', 'multi-platform', 'package-manager']",True,True,True,True,False,False,False,False,True,1.0,363.0,True
core-gatech-group/serpent-tools,10,4,CORE-GATECH-GROUP/serpent-tools,swerebench_filtered,10,2017-10-05 20:12:21+00:00,2021-05-14 18:34:11+00:00,MIT License,f7eb3e1c843f7d2506fe7ffa378584d7602a3bb9,3.8,5.8,244.0,88.0,48.0,40.0,22602.0,5711.0,0.2527,0.0,106.0,0.0047,10.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,17.7,False,False,MIT,A suite of parsers designed to make interacting with SERPENT output files simple and flawless,,65.0,"['monte-carlo', 'nuclear-engineering', 'python', 'reactor-physics', 'serpent']",True,False,False,True,False,False,False,False,False,0.2527,48.0,False
cwacek/python-jsonschema-objects,11,3,cwacek/python-jsonschema-objects,swerebench_filtered,12,2017-10-07 21:49:59+00:00,2024-11-12 02:37:52+00:00,MIT License,6cf6fc1e8fc1f7d0804b8f0db6b04962bf66a9b4,2.3,0.9,75.0,49.0,15.0,34.0,2751.0,2751.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,0.3,False,False,MIT,Automatic Python binding generation from JSON Schemas,,373.0,[],True,True,False,True,False,False,False,False,False,1.0,15.0,False
dask/dask,203,63,dask/dask,swegym;swerebench_filtered,206,2017-01-11 00:12:14+00:00,2025-03-03 16:20:15+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",0e1418f02576c81d80c96e9fbed31257345a9e5f,7.3,3.8,616.0,360.0,183.0,177.0,51030.0,50810.0,0.9957,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE.txt,0.0,1.0,0.0,19.2,False,False,BSD-3-Clause,Parallel computing with task scheduling,,13922.0,"['dask', 'numpy', 'pandas', 'pydata', 'python', 'scikit-learn', 'scipy']",True,True,True,True,False,False,False,False,True,0.9957,183.0,True
deepset-ai/haystack,97,36,deepset-ai/haystack,swebench_live_full;swerebench_filtered,104,2023-09-01 15:12:19+00:00,2025-08-28 11:19:37+00:00,Apache License 2.0,41b7ed4f472b7c26cc6cb879e8fda1197b422f49,3.4,1.9,1520.0,487.0,265.0,222.0,18988.0,18978.0,0.9995,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE;license-header.txt;licenserc.toml,0.0,0.0,0.0,12.3,False,False,Apache-2.0,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",,26575.0,"['agent-framework', 'agentic-ai', 'agentic-rag', 'agents', 'ai', 'ai-agents', 'context-engineering', 'framework', 'genai', 'generative-ai', 'information-retrieval', 'large-language-models', 'llm', 'mcp', 'multi-agent', 'orchestration', 'python', 'rag', 'retrieval-augmented-generation', 'semantic-search']",True,True,True,True,False,False,False,False,True,0.9995,238.0,True
delgan/loguru,11,3,Delgan/loguru,swebench_live_full;swerebench_filtered,11,2023-04-22 15:28:35+00:00,2025-02-20 00:59:01+00:00,MIT License,3cfd03fb6fd2176b90ad14223408f3c4ec803cb6,2.5,1.1,307.0,168.0,20.0,148.0,3249.0,2867.0,0.8824,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,1.5,False,False,MIT,Python logging made (stupidly) simple,,24122.0,"['log', 'logger', 'logging', 'python']",True,True,False,True,False,False,False,False,False,0.988,20.0,False
django-json-api/django-rest-framework-json-api,11,2,django-json-api/django-rest-framework-json-api,swebench_live_full;swerebench_filtered,11,2020-10-15 14:43:03+00:00,2025-08-20 14:22:30+00:00,"BSD 2-Clause ""Simplified"" License",142c76edadf7bf4d6c6692da307c03355103b1f6,2.0,1.1,124.0,87.0,50.0,37.0,3228.0,3228.0,1.0,0.0,161.0,0.0499,0.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,0.5,False,False,BSD-2-Clause,JSON:API support for Django REST framework,,1254.0,"['django-rest-framework', 'hacktoberfest', 'json-api', 'python']",True,True,True,True,False,False,False,False,True,1.0,50.0,True
django/django,840,172,django/django,swebench_full,850,2015-08-19 10:02:04+00:00,2023-07-17 20:28:41+00:00,,4a72da71001f154ea60906a2f74898d32b7322a7,5.2,9.9,6712.0,2752.0,870.0,1882.0,91824.0,89522.0,0.9749,11363.0,0.0,0.1101,0.0,2.0,pyproject.toml;setup.py,LICENSE;LICENSE.python,0.0,0.0,0.0,42.6,False,False,BSD-3-Clause,The Web framework for perfectionists with deadlines.,,91149.0,"['apps', 'django', 'framework', 'models', 'orm', 'python', 'templates', 'views', 'web']",True,True,True,True,False,False,False,False,True,0.9739,862.0,True
dlr-eoc/ukis-pysat,13,4,dlr-eoc/ukis-pysat,swerebench_filtered,13,2020-05-26 12:55:18+00:00,2020-09-28 09:34:35+00:00,Apache License 2.0,b819ed271462f153c1a411123fc4d42f9628629e,2.1,0.3,60.0,10.0,7.0,3.0,756.0,756.0,1.0,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE.txt,0.0,0.0,0.0,3.6,False,False,Apache-2.0,"The ukis-pysat package provides generic classes and functions to query, access and process multi-spectral and SAR satellite images",,30.0,"['gis', 'satellite-data', 'stac', 'ukis']",True,True,False,True,False,False,False,False,False,1.0,7.0,False
docker/docker-py,11,5,docker/docker-py,swerebench_filtered,11,2016-07-28 01:43:06+00:00,2023-12-17 15:00:52+00:00,Apache License 2.0,6ceb08273c157cbab7b5c77bd71e7389f1a6acc5,2.1,1.2,198.0,136.0,69.0,67.0,6280.0,6250.0,0.9952,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,1.2,False,False,Apache-2.0,A Python library for the Docker Engine API,,7213.0,"['docker', 'docker-engine-api', 'docker-swarm', 'python', 'python-library']",True,True,True,True,False,False,False,False,True,0.9952,69.0,True
dpkp/kafka-python,11,5,dpkp/kafka-python,swebench_live_full;swerebench_filtered,13,2017-03-13 17:32:28+00:00,2025-05-22 15:49:24+00:00,Apache License 2.0,48dd596462be5fc7cda004c85b26db823c184a39,2.5,1.8,326.0,164.0,125.0,34.0,17700.0,17700.0,1.0,1584.0,0.0,0.0821,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,2.1,False,False,Apache-2.0,Python client for Apache Kafka,,5903.0,"['kafka', 'python']",True,True,True,True,False,False,False,False,True,1.0,120.0,True
dwavesystems/dimod,17,8,dwavesystems/dimod,swerebench_filtered,19,2018-04-09 20:45:34+00:00,2019-08-30 02:08:12+00:00,Apache License 2.0,f67f48677202adffea7a5484e021e2599177b238,2.2,1.1,134.0,91.0,56.0,35.0,5015.0,4006.0,0.7988,0.0,0.0,0.0,0.0,1.0,setup.py,LICENSE,0.0,1.0,0.0,1.0,False,False,Apache-2.0,A shared API for QUBO/Ising samplers.,,143.0,[],True,False,True,True,False,False,False,False,False,0.8034,56.0,True
dwavesystems/dwave-cloud-client,15,4,dwavesystems/dwave-cloud-client,swerebench_filtered,15,2018-12-21 02:35:57+00:00,2024-08-06 16:30:11+00:00,Apache License 2.0,1f590ecc41eef194096f54022475a3bcd762ac8e,2.0,1.3,198.0,81.0,49.0,32.0,5711.0,5690.0,0.9963,0.0,0.0,0.0,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,2.7,False,False,Apache-2.0,A minimal implementation of the REST interface used to communicate with D-Wave Solver API (SAPI) servers.,,63.0,['quantum-computing'],True,True,False,True,False,False,False,False,False,0.9963,49.0,False
elastic/rally,15,7,elastic/rally,swerebench_filtered,15,2018-03-08 13:23:20+00:00,2023-02-22 12:19:31+00:00,Apache License 2.0,6915655f2ebf11311db54ebd2014c942110e77e2,2.3,2.6,268.0,122.0,63.0,59.0,17085.0,16585.0,0.9707,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE,0.0,0.0,0.0,3.7,False,False,Apache-2.0,Macrobenchmarking framework for Elasticsearch,,2029.0,['elasticsearch'],True,True,True,True,False,False,False,False,True,0.9707,63.0,True
encode/httpx,25,13,encode/httpx,swerebench_filtered,25,2019-08-15 03:27:04+00:00,2024-11-22 11:08:38+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",189fc4bcbe5f314128775dec66a616ac9a31ad48,3.2,1.4,125.0,60.0,23.0,37.0,5123.0,5123.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.md,0.0,0.0,0.0,5.2,False,False,BSD-3-Clause,A next generation HTTP client for Python. 🦋,,15499.0,"['asyncio', 'http', 'python', 'trio']",True,True,False,True,False,False,False,False,False,1.0,23.0,False
encode/starlette,29,4,encode/starlette,swebench_live_full;swerebench_filtered,30,2018-11-08 00:23:17+00:00,2025-03-16 12:14:29+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",c8a46925366361e40b65b117473db1342895b904,2.3,1.5,124.0,66.0,34.0,32.0,4783.0,4783.0,1.0,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.md,0.0,0.0,0.0,3.5,False,False,BSD-3-Clause,The little ASGI framework that shines. 🌟,,12624.0,"['asgi', 'async', 'http', 'python', 'websockets']",True,True,False,True,False,False,False,False,False,1.0,34.0,False
ethereum/web3.py,14,11,ethereum/web3.py,swerebench_filtered,14,2023-09-20 20:14:35+00:00,2025-02-04 18:39:15+00:00,MIT License,0b6239f89c934d3c81d18d2c39747f1fd21cab88,3.6,2.0,448.0,350.0,172.0,178.0,24058.0,24014.0,0.9982,0.0,284.0,0.0118,0.0,2.0,pyproject.toml;setup.py,LICENSE,0.0,1.0,0.0,10.1,False,False,MIT,A python interface for interacting with the Ethereum blockchain and ecosystem.,,5532.0,[],True,True,True,True,False,False,False,False,True,0.9982,172.0,True
facebookresearch/hydra,63,23,facebookresearch/hydra,swebench_live_full;swegym,68,2020-05-26 20:04:06+00:00,2025-01-06 16:59:50+00:00,,0ede84058e57a40260a93ae4f9abe08a572b23e0,3.1,2.0,1525.0,437.0,232.0,205.0,12499.0,12191.0,0.9754,0.0,0.0,0.0,3.0,27.0,contrib/hydra_torchrun_launcher/setup.py;examples/advanced/hydra_app_example/setup.py;examples/plugins/example_configsource_plugin/setup.py;examples/plugins/example_generic_plugin/setup.py;examples/plugins/example_launcher_plugin/setup.py;examples/plugins/example_registered_plugin/setup.py;examples/plugins/example_searchpath_plugin/setup.py;examples/plugins/example_sweeper_plugin/setup.py;plugins/hydra_ax_sweeper/pyproject.toml;plugins/hydra_ax_sweeper/setup.py,LICENSE,0.0,1.0,0.0,7.8,False,False,MIT,Hydra is a framework for elegantly configuring complex applications,,10668.0,[],True,True,True,True,False,False,False,True,True,0.9758,232.0,True
facelessuser/pymdown-extensions,16,10,facelessuser/pymdown-extensions,swebench_live_full;swerebench_filtered,17,2020-05-11 01:42:40+00:00,2025-05-28 18:58:48+00:00,MIT License,fbf4bf22da3bc864f24b4ee6a2c05b145fb6c304,2.6,1.7,378.0,90.0,52.0,38.0,6900.0,6355.0,0.921,0.0,0.0,0.0,0.0,1.0,pyproject.toml,LICENSE.md,0.0,3.0,0.0,6.1,False,False,NOASSERTION,Extensions for Python Markdown,,1130.0,"['markdown', 'python']",True,True,True,True,False,False,False,False,True,0.921,52.0,True
