repo_key,datasets,n_datasets
microsoft/graphrag,swebench_live_full;swerebench_filtered,2
matrix-org/synapse,locbench_v1;swerebench_filtered,2
lektor/lektor,swebench_live_full;swerebench_filtered,2
locustio/locust,locbench_v1;swerebench_filtered,2
kornia/kornia,locbench_v1;swerebench_filtered,2
koxudaxi/datamodel-code-generator,swebench_live_full;swerebench_filtered,2
joke2k/faker,swebench_live_full;swerebench_filtered,2
jpadilla/pyjwt,swebench_live_full;swerebench_filtered,2
keras-team/keras,locbench_v1;swebench_live_full,2
jupyterhub/oauthenticator,locbench_v1;swerebench_filtered,2
ibis-project/ibis,swebench_live_full;swerebench_filtered,2
icloud-photos-downloader/icloud_photos_downloader,swebench_live_full;swerebench_filtered,2
ouranosinc/xclim,locbench_v1;swerebench_filtered,2
olofk/fusesoc,swebench_live_full;swerebench_filtered,2
project-monai/monai,locbench_v1;swegym,2
prefecthq/prefect,locbench_v1;swerebench_filtered,2
praw-dev/praw,swebench_live_full;swerebench_filtered,2
pgmpy/pgmpy,swebench_live_full;swerebench_filtered,2
pdm-project/pdm,swebench_live_full;swerebench_filtered,2
psf/black,swebench_live_full;swerebench_filtered,2
py-pdf/pypdf,locbench_v1;swebench_live_full,2
projectmesa/mesa,swebench_live_full;swerebench_filtered,2
pydicom/pydicom,swebench_live_full;swerebench_filtered,2
pydantic/pydantic,locbench_v1;swegym,2
pypa/pip,locbench_v1;swerebench_filtered,2
pypa/cibuildwheel,swebench_live_full;swerebench_filtered,2
optuna/optuna,locbench_v1;swerebench_filtered,2
numba/numba,locbench_v1;swerebench_filtered,2
nltk/nltk,locbench_v1;swerebench_filtered,2
modelcontextprotocol/python-sdk,swebench_live_full;swerebench_filtered,2
pytransitions/transitions,swebench_live_full;swerebench_filtered,2
python-control/python-control,swebench_live_full;swerebench_filtered,2
python-babel/babel,swebench_live_full;swerebench_filtered,2
pypa/twine,swebench_live_full;swerebench_filtered,2
rthalley/dnspython,swebench_live_full;swerebench_filtered,2
run-llama/llama_deploy,swebench_live_full;swerebench_filtered,2
robotframework/robotframework,locbench_v1;swerebench_filtered,2
reata/sqllineage,swebench_live_full;swerebench_filtered,2
shapely/shapely,swebench_live_full;swerebench_filtered,2
scrapy/scrapy,locbench_v1;swerebench_filtered,2
spesmilo/electrum,swebench_live_full;swerebench_filtered,2
sktime/sktime,locbench_v1;swerebench_filtered,2
spulec/freezegun,swebench_live_full;swerebench_filtered,2
sqlfluff/sqlfluff,locbench_v1;swerebench_filtered,2
stanfordnlp/dspy,locbench_v1;swebench_live_full,2
roboflow/supervision,locbench_v1;swerebench_filtered,2
streamlink/streamlink,swebench_live_full;swerebench_filtered,2
systran/faster-whisper,locbench_v1;swebench_live_full,2
theskumar/python-dotenv,swebench_live_full;swerebench_filtered,2
textualize/textual,swebench_live_full;swerebench_filtered,2
tox-dev/tox,swebench_live_full;swerebench_filtered,2
traceloop/openllmetry,locbench_v1;swebench_live_full,2
ukplab/sentence-transformers,locbench_v1;swerebench_filtered,2
tobymao/sqlglot,locbench_v1;swerebench_filtered,2
urllib3/urllib3,swebench_live_full;swerebench_filtered,2
uxarray/uxarray,locbench_v1;swerebench_filtered,2
wemake-services/wemake-python-styleguide,swebench_live_full;swerebench_filtered,2
vitalik/django-ninja,locbench_v1;swerebench_filtered,2
wireservice/csvkit,swebench_live_full;swerebench_filtered,2
xcdat/xcdat,locbench_v1;swerebench_filtered,2
zarr-developers/zarr-python,locbench_v1;swerebench_filtered,2
zulko/moviepy,locbench_v1;swerebench_filtered,2
