option,filter,K,repo_key,tasks
A_swebench,1-10,15,sphinx-doc/sphinx,183
A_swebench,1-10,15,sympy/sympy,368
A_swebench,1-10,20,django/django,840
A_swebench,1-10,20,matplotlib/matplotlib,178
A_swebench,1-10,20,mwaskom/seaborn,21
A_swebench,1-10,20,pydata/xarray,99
A_swebench,1-10,20,pylint-dev/pylint,56
A_swebench,1-10,20,pytest-dev/pytest,116
A_swebench,1-10,20,scikit-learn/scikit-learn,220
A_swebench,1-10,20,sphinx-doc/sphinx,183
A_swebench,1-10,20,sympy/sympy,368
B_swebench+gym,2-10,10,conan-io/conan,17
B_swebench+gym,2-10,10,dask/dask,28
B_swebench+gym,2-10,10,django/django,172
B_swebench+gym,2-10,10,facebookresearch/hydra,22
B_swebench+gym,2-10,10,getmoto/moto,144
B_swebench+gym,2-10,10,iterative/dvc,107
B_swebench+gym,2-10,10,matplotlib/matplotlib,38
B_swebench+gym,2-10,10,modin-project/modin,39
B_swebench+gym,2-10,10,mwaskom/seaborn,10
B_swebench+gym,2-10,10,project-monai/monai,174
B_swebench+gym,2-10,10,pydantic/pydantic,30
B_swebench+gym,2-10,10,pydata/xarray,34
B_swebench+gym,2-10,10,pylint-dev/pylint,22
B_swebench+gym,2-10,10,pytest-dev/pytest,24
B_swebench+gym,2-10,10,scikit-learn/scikit-learn,46
B_swebench+gym,2-10,10,sphinx-doc/sphinx,48
B_swebench+gym,2-10,10,sympy/sympy,77
B_swebench+gym,2-10,15,conan-io/conan,17
B_swebench+gym,2-10,15,dask/dask,28
B_swebench+gym,2-10,15,django/django,172
B_swebench+gym,2-10,15,facebookresearch/hydra,22
B_swebench+gym,2-10,15,getmoto/moto,144
B_swebench+gym,2-10,15,iterative/dvc,107
B_swebench+gym,2-10,15,matplotlib/matplotlib,38
B_swebench+gym,2-10,15,modin-project/modin,39
B_swebench+gym,2-10,15,project-monai/monai,174
B_swebench+gym,2-10,15,pydantic/pydantic,30
B_swebench+gym,2-10,15,pydata/xarray,34
B_swebench+gym,2-10,15,pylint-dev/pylint,22
B_swebench+gym,2-10,15,pytest-dev/pytest,24
B_swebench+gym,2-10,15,scikit-learn/scikit-learn,46
B_swebench+gym,2-10,15,sphinx-doc/sphinx,48
B_swebench+gym,2-10,15,sympy/sympy,77
B_swebench+gym,2-10,20,dask/dask,28
B_swebench+gym,2-10,20,django/django,172
B_swebench+gym,2-10,20,facebookresearch/hydra,22
B_swebench+gym,2-10,20,getmoto/moto,144
B_swebench+gym,2-10,20,iterative/dvc,107
B_swebench+gym,2-10,20,matplotlib/matplotlib,38
B_swebench+gym,2-10,20,modin-project/modin,39
B_swebench+gym,2-10,20,project-monai/monai,174
B_swebench+gym,2-10,20,pydantic/pydantic,30
B_swebench+gym,2-10,20,pydata/xarray,34
B_swebench+gym,2-10,20,pylint-dev/pylint,22
B_swebench+gym,2-10,20,pytest-dev/pytest,24
B_swebench+gym,2-10,20,scikit-learn/scikit-learn,46
B_swebench+gym,2-10,20,sphinx-doc/sphinx,48
B_swebench+gym,2-10,20,sympy/sympy,77
B_swebench+gym,1-10,10,conan-io/conan,68
B_swebench+gym,1-10,10,dask/dask,138
B_swebench+gym,1-10,10,django/django,840
B_swebench+gym,1-10,10,facebookresearch/hydra,61
B_swebench+gym,1-10,10,getmoto/moto,320
B_swebench+gym,1-10,10,iterative/dvc,208
B_swebench+gym,1-10,10,matplotlib/matplotlib,178
B_swebench+gym,1-10,10,modin-project/modin,94
B_swebench+gym,1-10,10,mwaskom/seaborn,21
B_swebench+gym,1-10,10,project-monai/monai,344
B_swebench+gym,1-10,10,pydantic/pydantic,78
B_swebench+gym,1-10,10,pydata/xarray,99
B_swebench+gym,1-10,10,pylint-dev/pylint,56
B_swebench+gym,1-10,10,pytest-dev/pytest,116
B_swebench+gym,1-10,10,scikit-learn/scikit-learn,220
B_swebench+gym,1-10,10,sphinx-doc/sphinx,183
B_swebench+gym,1-10,10,sympy/sympy,368
B_swebench+gym,1-10,15,conan-io/conan,68
B_swebench+gym,1-10,15,dask/dask,138
B_swebench+gym,1-10,15,django/django,840
B_swebench+gym,1-10,15,facebookresearch/hydra,61
B_swebench+gym,1-10,15,getmoto/moto,320
B_swebench+gym,1-10,15,iterative/dvc,208
B_swebench+gym,1-10,15,matplotlib/matplotlib,178
B_swebench+gym,1-10,15,modin-project/modin,94
B_swebench+gym,1-10,15,mwaskom/seaborn,21
B_swebench+gym,1-10,15,project-monai/monai,344
B_swebench+gym,1-10,15,pydantic/pydantic,78
B_swebench+gym,1-10,15,pydata/xarray,99
B_swebench+gym,1-10,15,pylint-dev/pylint,56
B_swebench+gym,1-10,15,pytest-dev/pytest,116
B_swebench+gym,1-10,15,scikit-learn/scikit-learn,220
B_swebench+gym,1-10,15,sphinx-doc/sphinx,183
B_swebench+gym,1-10,15,sympy/sympy,368
B_swebench+gym,1-10,20,conan-io/conan,68
B_swebench+gym,1-10,20,dask/dask,138
B_swebench+gym,1-10,20,django/django,840
B_swebench+gym,1-10,20,facebookresearch/hydra,61
B_swebench+gym,1-10,20,getmoto/moto,320
B_swebench+gym,1-10,20,iterative/dvc,208
B_swebench+gym,1-10,20,matplotlib/matplotlib,178
B_swebench+gym,1-10,20,modin-project/modin,94
B_swebench+gym,1-10,20,mwaskom/seaborn,21
B_swebench+gym,1-10,20,project-monai/monai,344
B_swebench+gym,1-10,20,pydantic/pydantic,78
B_swebench+gym,1-10,20,pydata/xarray,99
B_swebench+gym,1-10,20,pylint-dev/pylint,56
B_swebench+gym,1-10,20,pytest-dev/pytest,116
B_swebench+gym,1-10,20,scikit-learn/scikit-learn,220
B_swebench+gym,1-10,20,sphinx-doc/sphinx,183
B_swebench+gym,1-10,20,sympy/sympy,368
C_fresh,2-10,10,aws-cloudformation/cfn-lint,35
C_fresh,2-10,10,beeware/briefcase,15
C_fresh,2-10,10,borgbackup/borg,11
C_fresh,2-10,10,bridgecrewio/checkov,13
C_fresh,2-10,10,conan-io/conan,100
C_fresh,2-10,10,dask/dask,35
C_fresh,2-10,10,deepset-ai/haystack,36
C_fresh,2-10,10,ethereum/web3.py,11
C_fresh,2-10,10,facelessuser/pymdown-extensions,10
C_fresh,2-10,10,falconry/falcon,10
C_fresh,2-10,10,fitbenchmarking/fitbenchmarking,12
C_fresh,2-10,10,frictionlessdata/frictionless-py,10
C_fresh,2-10,10,hgrecco/pint,11
C_fresh,2-10,10,instructlab/instructlab,22
C_fresh,2-10,10,ipython/ipython,10
C_fresh,2-10,10,iterative/dvc,42
C_fresh,2-10,10,jackdewinter/pymarkdown,10
C_fresh,2-10,10,joke2k/faker,10
C_fresh,2-10,10,kedro-org/kedro,10
C_fresh,2-10,10,keras-team/keras,14
C_fresh,2-10,10,matplotlib/matplotlib,24
C_fresh,2-10,10,mikedh/trimesh,18
C_fresh,2-10,10,mne-tools/mne-python,10
C_fresh,2-10,10,narwhals-dev/narwhals,17
C_fresh,2-10,10,networkx/networkx,13
C_fresh,2-10,10,nilearn/nilearn,10
C_fresh,2-10,10,numba/numba,13
C_fresh,2-10,10,patroni/patroni,10
C_fresh,2-10,10,pdm-project/pdm,30
C_fresh,2-10,10,pennylaneai/pennylane,24
C_fresh,2-10,10,pylint-dev/pylint,15
C_fresh,2-10,10,pytorch/ignite,11
C_fresh,2-10,10,reflex-dev/reflex,17
C_fresh,2-10,10,repobee/repobee,11
C_fresh,2-10,10,sissbruecker/linkding,16
C_fresh,2-10,10,sphinx-doc/sphinx,17
C_fresh,2-10,10,streamlink/streamlink,17
C_fresh,2-10,10,textualize/textual,16
C_fresh,2-10,10,tobymao/sqlglot,172
C_fresh,2-10,10,tornadoweb/tornado,13
C_fresh,2-10,10,tox-dev/tox,23
C_fresh,2-10,10,wemake-services/wemake-python-styleguide,15
C_fresh,2-10,10,zarr-developers/zarr-python,17
C_fresh,2-10,15,aws-cloudformation/cfn-lint,35
C_fresh,2-10,15,beeware/briefcase,15
C_fresh,2-10,15,conan-io/conan,100
C_fresh,2-10,15,dask/dask,35
C_fresh,2-10,15,deepset-ai/haystack,36
C_fresh,2-10,15,instructlab/instructlab,22
C_fresh,2-10,15,iterative/dvc,42
C_fresh,2-10,15,matplotlib/matplotlib,24
C_fresh,2-10,15,mikedh/trimesh,18
C_fresh,2-10,15,narwhals-dev/narwhals,17
C_fresh,2-10,15,pdm-project/pdm,30
C_fresh,2-10,15,pennylaneai/pennylane,24
C_fresh,2-10,15,pylint-dev/pylint,15
C_fresh,2-10,15,reflex-dev/reflex,17
C_fresh,2-10,15,sissbruecker/linkding,16
C_fresh,2-10,15,sphinx-doc/sphinx,17
C_fresh,2-10,15,streamlink/streamlink,17
C_fresh,2-10,15,textualize/textual,16
C_fresh,2-10,15,tobymao/sqlglot,172
C_fresh,2-10,15,tox-dev/tox,23
C_fresh,2-10,15,wemake-services/wemake-python-styleguide,15
C_fresh,2-10,15,zarr-developers/zarr-python,17
C_fresh,2-10,20,aws-cloudformation/cfn-lint,35
C_fresh,2-10,20,conan-io/conan,100
C_fresh,2-10,20,dask/dask,35
C_fresh,2-10,20,deepset-ai/haystack,36
C_fresh,2-10,20,instructlab/instructlab,22
C_fresh,2-10,20,iterative/dvc,42
C_fresh,2-10,20,matplotlib/matplotlib,24
C_fresh,2-10,20,pdm-project/pdm,30
C_fresh,2-10,20,pennylaneai/pennylane,24
C_fresh,2-10,20,tobymao/sqlglot,172
C_fresh,2-10,20,tox-dev/tox,23
C_fresh,1-10,10,aiogram/aiogram,18
C_fresh,1-10,10,astropy/astroquery,12
C_fresh,1-10,10,astropy/photutils,12
C_fresh,1-10,10,aws-cloudformation/cfn-lint,94
C_fresh,1-10,10,azure/azure-cli,10
C_fresh,1-10,10,beeware/briefcase,54
C_fresh,1-10,10,borgbackup/borg,23
C_fresh,1-10,10,bridgecrewio/checkov,38
C_fresh,1-10,10,canonical/charmcraft,21
C_fresh,1-10,10,cekit/cekit,15
C_fresh,1-10,10,cloud-custodian/cloud-custodian,11
C_fresh,1-10,10,conan-io/conan,225
C_fresh,1-10,10,dask/dask,72
C_fresh,1-10,10,deepset-ai/haystack,97
C_fresh,1-10,10,django-json-api/django-rest-framework-json-api,11
C_fresh,1-10,10,docker/docker-py,11
C_fresh,1-10,10,dpkp/kafka-python,11
C_fresh,1-10,10,elastic/rally,15
C_fresh,1-10,10,ethereum/web3.py,14
C_fresh,1-10,10,facelessuser/pymdown-extensions,16
C_fresh,1-10,10,falconry/falcon,20
C_fresh,1-10,10,fatal1ty/mashumaro,14
C_fresh,1-10,10,fitbenchmarking/fitbenchmarking,22
C_fresh,1-10,10,fonttools/fonttools,15
C_fresh,1-10,10,frictionlessdata/frictionless-py,21
C_fresh,1-10,10,genericmappingtools/pygmt,13
C_fresh,1-10,10,getsentry/sentry-python,15
C_fresh,1-10,10,google/flax,14
C_fresh,1-10,10,google/mobly,10
C_fresh,1-10,10,googleapis/python-storage,22
C_fresh,1-10,10,hgrecco/pint,33
C_fresh,1-10,10,ibis-project/ibis,10
C_fresh,1-10,10,instructlab/instructlab,42
C_fresh,1-10,10,ipython/ipython,24
C_fresh,1-10,10,iterative/dvc,80
C_fresh,1-10,10,jackdewinter/pymarkdown,19
C_fresh,1-10,10,jlowin/fastmcp,21
C_fresh,1-10,10,joke2k/faker,41
C_fresh,1-10,10,kedro-org/kedro,35
C_fresh,1-10,10,keras-team/keras,44
C_fresh,1-10,10,kozea/weasyprint,18
C_fresh,1-10,10,linkml/linkml,10
C_fresh,1-10,10,marcosschroh/dataclasses-avroschema,11
C_fresh,1-10,10,materials-consortia/optimade-python-tools,11
C_fresh,1-10,10,matplotlib/matplotlib,99
C_fresh,1-10,10,matrix-org/synapse,14
C_fresh,1-10,10,mikedh/trimesh,18
C_fresh,1-10,10,missionpinball/mpf,10
C_fresh,1-10,10,mne-tools/mne-python,13
C_fresh,1-10,10,narwhals-dev/narwhals,25
C_fresh,1-10,10,networkx/networkx,44
C_fresh,1-10,10,nilearn/nilearn,24
C_fresh,1-10,10,nipy/nipype,18
C_fresh,1-10,10,nltk/nltk,11
C_fresh,1-10,10,numba/numba,35
C_fresh,1-10,10,nvidia/hpc-container-maker,10
C_fresh,1-10,10,oasis-open/cti-python-stix2,21
C_fresh,1-10,10,openai/openai-agents-python,13
C_fresh,1-10,10,patroni/patroni,21
C_fresh,1-10,10,pdm-project/pdm,48
C_fresh,1-10,10,pennylaneai/pennylane,75
C_fresh,1-10,10,pre-commit/pre-commit,40
C_fresh,1-10,10,projectmesa/mesa,14
C_fresh,1-10,10,psf/black,15
C_fresh,1-10,10,pvlib/pvlib-python,25
C_fresh,1-10,10,pydata/xarray,23
C_fresh,1-10,10,pylint-dev/pylint,61
C_fresh,1-10,10,pypsa/pypsa,10
C_fresh,1-10,10,python-cmd2/cmd2,27
C_fresh,1-10,10,python-control/python-control,18
C_fresh,1-10,10,python-telegram-bot/python-telegram-bot,13
C_fresh,1-10,10,pytorch/ignite,63
C_fresh,1-10,10,pytorch/torchtune,12
C_fresh,1-10,10,pyvista/pyvista,23
C_fresh,1-10,10,rdflib/rdflib,11
C_fresh,1-10,10,reflex-dev/reflex,42
C_fresh,1-10,10,reframe-hpc/reframe,14
C_fresh,1-10,10,repobee/repobee,15
C_fresh,1-10,10,scipp/plopp,19
C_fresh,1-10,10,scrapy/scrapy,24
C_fresh,1-10,10,sdv-dev/sdv,15
C_fresh,1-10,10,sissbruecker/linkding,33
C_fresh,1-10,10,spacetelescope/jwst,15
C_fresh,1-10,10,spdx/tools-python,15
C_fresh,1-10,10,sphinx-doc/sphinx,40
C_fresh,1-10,10,spikeinterface/spikeinterface,10
C_fresh,1-10,10,stanfordnlp/dspy,18
C_fresh,1-10,10,statsmodels/statsmodels,13
C_fresh,1-10,10,streamlink/streamlink,78
C_fresh,1-10,10,sunpy/sunpy,12
C_fresh,1-10,10,sympy/sympy,14
C_fresh,1-10,10,tefra/xsdata,27
C_fresh,1-10,10,terrapower/armi,12
C_fresh,1-10,10,textualize/textual,58
C_fresh,1-10,10,tobymao/sqlglot,291
C_fresh,1-10,10,tornadoweb/tornado,21
C_fresh,1-10,10,tox-dev/tox,66
C_fresh,1-10,10,twisted/twisted,13
C_fresh,1-10,10,ucfopen/canvasapi,23
C_fresh,1-10,10,vertexproject/synapse,12
C_fresh,1-10,10,wemake-services/wemake-python-styleguide,36
C_fresh,1-10,10,xonsh/xonsh,18
C_fresh,1-10,10,yt-dlp/yt-dlp,12
C_fresh,1-10,10,yukinarit/pyserde,10
C_fresh,1-10,10,zarr-developers/zarr-python,42
C_fresh,1-10,15,aiogram/aiogram,18
C_fresh,1-10,15,aws-cloudformation/cfn-lint,94
C_fresh,1-10,15,beeware/briefcase,54
C_fresh,1-10,15,borgbackup/borg,23
C_fresh,1-10,15,bridgecrewio/checkov,38
C_fresh,1-10,15,canonical/charmcraft,21
C_fresh,1-10,15,cekit/cekit,15
C_fresh,1-10,15,conan-io/conan,225
C_fresh,1-10,15,dask/dask,72
C_fresh,1-10,15,deepset-ai/haystack,97
C_fresh,1-10,15,elastic/rally,15
C_fresh,1-10,15,facelessuser/pymdown-extensions,16
C_fresh,1-10,15,falconry/falcon,20
C_fresh,1-10,15,fitbenchmarking/fitbenchmarking,22
C_fresh,1-10,15,fonttools/fonttools,15
C_fresh,1-10,15,frictionlessdata/frictionless-py,21
C_fresh,1-10,15,getsentry/sentry-python,15
C_fresh,1-10,15,googleapis/python-storage,22
C_fresh,1-10,15,hgrecco/pint,33
C_fresh,1-10,15,instructlab/instructlab,42
C_fresh,1-10,15,ipython/ipython,24
C_fresh,1-10,15,iterative/dvc,80
C_fresh,1-10,15,jackdewinter/pymarkdown,19
C_fresh,1-10,15,jlowin/fastmcp,21
C_fresh,1-10,15,joke2k/faker,41
C_fresh,1-10,15,kedro-org/kedro,35
C_fresh,1-10,15,keras-team/keras,44
C_fresh,1-10,15,kozea/weasyprint,18
C_fresh,1-10,15,matplotlib/matplotlib,99
C_fresh,1-10,15,mikedh/trimesh,18
C_fresh,1-10,15,narwhals-dev/narwhals,25
C_fresh,1-10,15,networkx/networkx,44
C_fresh,1-10,15,nilearn/nilearn,24
C_fresh,1-10,15,nipy/nipype,18
C_fresh,1-10,15,numba/numba,35
C_fresh,1-10,15,oasis-open/cti-python-stix2,21
C_fresh,1-10,15,patroni/patroni,21
C_fresh,1-10,15,pdm-project/pdm,48
C_fresh,1-10,15,pennylaneai/pennylane,75
C_fresh,1-10,15,pre-commit/pre-commit,40
C_fresh,1-10,15,psf/black,15
C_fresh,1-10,15,pvlib/pvlib-python,25
C_fresh,1-10,15,pydata/xarray,23
C_fresh,1-10,15,pylint-dev/pylint,61
C_fresh,1-10,15,python-cmd2/cmd2,27
C_fresh,1-10,15,python-control/python-control,18
C_fresh,1-10,15,pytorch/ignite,63
C_fresh,1-10,15,pyvista/pyvista,23
C_fresh,1-10,15,reflex-dev/reflex,42
C_fresh,1-10,15,repobee/repobee,15
C_fresh,1-10,15,scipp/plopp,19
C_fresh,1-10,15,scrapy/scrapy,24
C_fresh,1-10,15,sdv-dev/sdv,15
C_fresh,1-10,15,sissbruecker/linkding,33
C_fresh,1-10,15,spacetelescope/jwst,15
C_fresh,1-10,15,spdx/tools-python,15
C_fresh,1-10,15,sphinx-doc/sphinx,40
C_fresh,1-10,15,stanfordnlp/dspy,18
C_fresh,1-10,15,streamlink/streamlink,78
C_fresh,1-10,15,tefra/xsdata,27
C_fresh,1-10,15,textualize/textual,58
C_fresh,1-10,15,tobymao/sqlglot,291
C_fresh,1-10,15,tornadoweb/tornado,21
C_fresh,1-10,15,tox-dev/tox,66
C_fresh,1-10,15,ucfopen/canvasapi,23
C_fresh,1-10,15,wemake-services/wemake-python-styleguide,36
C_fresh,1-10,15,xonsh/xonsh,18
C_fresh,1-10,15,zarr-developers/zarr-python,42
C_fresh,1-10,20,aws-cloudformation/cfn-lint,94
C_fresh,1-10,20,beeware/briefcase,54
C_fresh,1-10,20,borgbackup/borg,23
C_fresh,1-10,20,bridgecrewio/checkov,38
C_fresh,1-10,20,canonical/charmcraft,21
C_fresh,1-10,20,conan-io/conan,225
C_fresh,1-10,20,dask/dask,72
C_fresh,1-10,20,deepset-ai/haystack,97
C_fresh,1-10,20,falconry/falcon,20
C_fresh,1-10,20,fitbenchmarking/fitbenchmarking,22
C_fresh,1-10,20,frictionlessdata/frictionless-py,21
C_fresh,1-10,20,googleapis/python-storage,22
C_fresh,1-10,20,hgrecco/pint,33
C_fresh,1-10,20,instructlab/instructlab,42
C_fresh,1-10,20,ipython/ipython,24
C_fresh,1-10,20,iterative/dvc,80
C_fresh,1-10,20,jlowin/fastmcp,21
C_fresh,1-10,20,joke2k/faker,41
C_fresh,1-10,20,kedro-org/kedro,35
C_fresh,1-10,20,keras-team/keras,44
C_fresh,1-10,20,matplotlib/matplotlib,99
C_fresh,1-10,20,narwhals-dev/narwhals,25
C_fresh,1-10,20,networkx/networkx,44
C_fresh,1-10,20,nilearn/nilearn,24
C_fresh,1-10,20,numba/numba,35
C_fresh,1-10,20,oasis-open/cti-python-stix2,21
C_fresh,1-10,20,patroni/patroni,21
C_fresh,1-10,20,pdm-project/pdm,48
C_fresh,1-10,20,pennylaneai/pennylane,75
C_fresh,1-10,20,pre-commit/pre-commit,40
C_fresh,1-10,20,pvlib/pvlib-python,25
C_fresh,1-10,20,pydata/xarray,23
C_fresh,1-10,20,pylint-dev/pylint,61
C_fresh,1-10,20,python-cmd2/cmd2,27
C_fresh,1-10,20,pytorch/ignite,63
C_fresh,1-10,20,pyvista/pyvista,23
C_fresh,1-10,20,reflex-dev/reflex,42
C_fresh,1-10,20,scrapy/scrapy,24
C_fresh,1-10,20,sissbruecker/linkding,33
C_fresh,1-10,20,sphinx-doc/sphinx,40
C_fresh,1-10,20,streamlink/streamlink,78
C_fresh,1-10,20,tefra/xsdata,27
C_fresh,1-10,20,textualize/textual,58
C_fresh,1-10,20,tobymao/sqlglot,291
C_fresh,1-10,20,tornadoweb/tornado,21
C_fresh,1-10,20,tox-dev/tox,66
C_fresh,1-10,20,ucfopen/canvasapi,23
C_fresh,1-10,20,wemake-services/wemake-python-styleguide,36
C_fresh,1-10,20,zarr-developers/zarr-python,42
D_mixed,2-10,10,aws-cloudformation/cfn-lint,35
D_mixed,2-10,10,beeware/briefcase,15
D_mixed,2-10,10,borgbackup/borg,11
D_mixed,2-10,10,bridgecrewio/checkov,13
D_mixed,2-10,10,conan-io/conan,100
D_mixed,2-10,10,dask/dask,35
D_mixed,2-10,10,deepset-ai/haystack,36
D_mixed,2-10,10,django/django,172
D_mixed,2-10,10,ethereum/web3.py,11
D_mixed,2-10,10,facelessuser/pymdown-extensions,10
D_mixed,2-10,10,falconry/falcon,10
D_mixed,2-10,10,fitbenchmarking/fitbenchmarking,12
D_mixed,2-10,10,frictionlessdata/frictionless-py,10
D_mixed,2-10,10,hgrecco/pint,11
D_mixed,2-10,10,instructlab/instructlab,22
D_mixed,2-10,10,ipython/ipython,10
D_mixed,2-10,10,iterative/dvc,42
D_mixed,2-10,10,jackdewinter/pymarkdown,10
D_mixed,2-10,10,joke2k/faker,10
D_mixed,2-10,10,kedro-org/kedro,10
D_mixed,2-10,10,keras-team/keras,14
D_mixed,2-10,10,matplotlib/matplotlib,62
D_mixed,2-10,10,mikedh/trimesh,18
D_mixed,2-10,10,mne-tools/mne-python,10
D_mixed,2-10,10,mwaskom/seaborn,10
D_mixed,2-10,10,narwhals-dev/narwhals,17
D_mixed,2-10,10,networkx/networkx,13
D_mixed,2-10,10,nilearn/nilearn,10
D_mixed,2-10,10,numba/numba,13
D_mixed,2-10,10,patroni/patroni,10
D_mixed,2-10,10,pdm-project/pdm,30
D_mixed,2-10,10,pennylaneai/pennylane,24
D_mixed,2-10,10,pydata/xarray,40
D_mixed,2-10,10,pylint-dev/pylint,37
D_mixed,2-10,10,pytest-dev/pytest,24
D_mixed,2-10,10,pytorch/ignite,11
D_mixed,2-10,10,reflex-dev/reflex,17
D_mixed,2-10,10,repobee/repobee,11
D_mixed,2-10,10,scikit-learn/scikit-learn,46
D_mixed,2-10,10,sissbruecker/linkding,16
D_mixed,2-10,10,sphinx-doc/sphinx,65
D_mixed,2-10,10,streamlink/streamlink,17
D_mixed,2-10,10,sympy/sympy,82
D_mixed,2-10,10,textualize/textual,16
D_mixed,2-10,10,tobymao/sqlglot,172
D_mixed,2-10,10,tornadoweb/tornado,13
D_mixed,2-10,10,tox-dev/tox,23
D_mixed,2-10,10,wemake-services/wemake-python-styleguide,15
D_mixed,2-10,10,zarr-developers/zarr-python,17
D_mixed,2-10,15,aws-cloudformation/cfn-lint,35
D_mixed,2-10,15,beeware/briefcase,15
D_mixed,2-10,15,conan-io/conan,100
D_mixed,2-10,15,dask/dask,35
D_mixed,2-10,15,deepset-ai/haystack,36
D_mixed,2-10,15,django/django,172
D_mixed,2-10,15,instructlab/instructlab,22
D_mixed,2-10,15,iterative/dvc,42
D_mixed,2-10,15,matplotlib/matplotlib,62
D_mixed,2-10,15,mikedh/trimesh,18
D_mixed,2-10,15,narwhals-dev/narwhals,17
D_mixed,2-10,15,pdm-project/pdm,30
D_mixed,2-10,15,pennylaneai/pennylane,24
D_mixed,2-10,15,pydata/xarray,40
D_mixed,2-10,15,pylint-dev/pylint,37
D_mixed,2-10,15,pytest-dev/pytest,24
D_mixed,2-10,15,reflex-dev/reflex,17
D_mixed,2-10,15,scikit-learn/scikit-learn,46
D_mixed,2-10,15,sissbruecker/linkding,16
D_mixed,2-10,15,sphinx-doc/sphinx,65
D_mixed,2-10,15,streamlink/streamlink,17
D_mixed,2-10,15,sympy/sympy,82
D_mixed,2-10,15,textualize/textual,16
D_mixed,2-10,15,tobymao/sqlglot,172
D_mixed,2-10,15,tox-dev/tox,23
D_mixed,2-10,15,wemake-services/wemake-python-styleguide,15
D_mixed,2-10,15,zarr-developers/zarr-python,17
D_mixed,2-10,20,aws-cloudformation/cfn-lint,35
D_mixed,2-10,20,conan-io/conan,100
D_mixed,2-10,20,dask/dask,35
D_mixed,2-10,20,deepset-ai/haystack,36
D_mixed,2-10,20,django/django,172
D_mixed,2-10,20,instructlab/instructlab,22
D_mixed,2-10,20,iterative/dvc,42
D_mixed,2-10,20,matplotlib/matplotlib,62
D_mixed,2-10,20,pdm-project/pdm,30
D_mixed,2-10,20,pennylaneai/pennylane,24
D_mixed,2-10,20,pydata/xarray,40
D_mixed,2-10,20,pylint-dev/pylint,37
D_mixed,2-10,20,pytest-dev/pytest,24
D_mixed,2-10,20,scikit-learn/scikit-learn,46
D_mixed,2-10,20,sphinx-doc/sphinx,65
D_mixed,2-10,20,sympy/sympy,82
D_mixed,2-10,20,tobymao/sqlglot,172
D_mixed,2-10,20,tox-dev/tox,23
D_mixed,1-10,10,aiogram/aiogram,18
D_mixed,1-10,10,astropy/astroquery,12
D_mixed,1-10,10,astropy/photutils,12
D_mixed,1-10,10,aws-cloudformation/cfn-lint,94
D_mixed,1-10,10,azure/azure-cli,10
D_mixed,1-10,10,beeware/briefcase,54
D_mixed,1-10,10,borgbackup/borg,23
D_mixed,1-10,10,bridgecrewio/checkov,38
D_mixed,1-10,10,canonical/charmcraft,21
D_mixed,1-10,10,cekit/cekit,15
D_mixed,1-10,10,cloud-custodian/cloud-custodian,11
D_mixed,1-10,10,conan-io/conan,225
D_mixed,1-10,10,dask/dask,72
D_mixed,1-10,10,deepset-ai/haystack,97
D_mixed,1-10,10,django-json-api/django-rest-framework-json-api,11
D_mixed,1-10,10,django/django,840
D_mixed,1-10,10,docker/docker-py,11
D_mixed,1-10,10,dpkp/kafka-python,11
D_mixed,1-10,10,elastic/rally,15
D_mixed,1-10,10,ethereum/web3.py,14
D_mixed,1-10,10,facelessuser/pymdown-extensions,16
