repo,repo_key,dataset,instance_id,pr_number,base_commit,created_at,image,n_src_py_files_study,file_group,src_changed_lines_study,n_new_src_py_study,n_f2p,draw_rank
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,e889b1063f60f6b99f5d031f7e903f7be5f58900,,jefzda/sweap-images:ansible.ansible-ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,6,multi,49,0,1.0,11
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,e8ae7211dabbd07093f50d6dfb383da3bb14f13d,,jefzda/sweap-images:ansible.ansible-ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1,single,35,0,17.0,12
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,,5ee81338fcf7adbc1a8eda26dd8105a07825cb08,,jefzda/sweap-images:ansible.ansible-ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,2,multi,88,0,3.0,13
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,709484969c8a4ffd74b839a673431a8c5caa6457,,jefzda/sweap-images:ansible.ansible-ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1,single,32,0,2.0,14
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,,3398c102b5c41d48d0cbc2d81f9c004f07ac3fcb,,jefzda/sweap-images:ansible.ansible-ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,2,multi,84,0,15.0,15
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-77658704217d5f166404fc67997203c25381cb6e-v390e508d27db7a51eece36bb6d9698b63a5b638a,,db2d5b09eff918e981c9e10787a5f2c500d1784f,,jefzda/sweap-images:ansible.ansible-ansible__ansible-77658704217d5f166404fc67997203c25381cb6e-v390e508d27db7a51eece36bb6d9698b63a5b638a,1,single,148,0,33.0,16
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,,1503805b703787aba06111f67e7dc564e3420cad,,jefzda/sweap-images:ansible.ansible-ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,1,single,113,0,11.0,17
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,,f7234968d241d7171aadb1e873a67510753f3163,,jefzda/sweap-images:ansible.ansible-ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,2,multi,29,0,1.0,18
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,,f533d46572113655a0a698beab4b38671744a458,,jefzda/sweap-images:ansible.ansible-ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2,multi,61,0,4.0,19
ansible/ansible,ansible/ansible,swebench_pro,instance_ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e-v906c969b551b346ef54a2c0b41e04f632b7b73c2,,5fa2d29c9a06baa8cc5d271c41e23b1f99b3814a,,jefzda/sweap-images:ansible.ansible-ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e-v906c969b551b346ef54a2c0b41e04f632b7b73c2,1,single,200,1,3.0,20
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1733,1733,bba4a79bd3ef0cf5ef2f55106ef100243abea02d,2021-07-22 02:12:04+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1733,1,single,7,0,1.0,1
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1671,1671,2039df435ecfd7e382ffa07ddfaccf6e3972ab62,2021-06-14 17:45:39+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1671,1,single,7,0,2.0,2
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1404,1404,5198be6ab1fa7496dfbe879b7e41237e18c10a06,2021-02-18 21:18:38+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1404,1,single,24,0,41.0,3
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1372,1372,d9990c5ecc1feb1a0d08a525503400b269ee2917,2021-02-02 02:02:54+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1372,2,multi,25,0,6.0,4
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-952,952,32463accd068c4915161f0648b5e9da4c9ef117e,2020-09-08 21:36:24+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-952,1,single,24,0,5.0,5
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1458,1458,3b5aa5d7d7e98acce42f29dbd8d70cdb4ccf30ec,2021-03-07 00:43:25+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1458,1,single,48,0,3.0,6
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-892,892,7afee0976f7507c3c1b607ebd129d3408b608fa2,2020-08-19 19:04:12+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-892,1,single,10,0,1.0,7
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1456,1456,7e7832f72664b40ee04834ac8956e7146a3d37fb,2021-03-06 00:38:08+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1456,2,multi,57,0,11.0,8
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-801,801,90dae30eb81460ac30f19d8ad29631800d35aea8,2020-07-20 23:34:28+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-801,3,multi,52,0,1.0,9
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1450,1450,de03d15a259999f2dc53d506a7de825f93cb5d78,2021-03-04 20:38:48+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1450,5,multi,101,0,8.0,10
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1731,1731,0ccf75f14db36bbedb8659102cc1b4b9bb32b8f2,2021-07-21 22:10:21+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1731,1,single,9,0,2.0,11
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-2290,2290,1d897e9f75bb47ddc65ef02e981fc6a2918fee0b,2022-07-12 17:34:34+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-2290,1,single,2,0,1.0,12
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-2085,2085,00a9536a2b390f396d042dced697d499f5476cde,2022-03-11 22:15:39+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-2085,5,multi,112,0,7.0,13
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1915,1915,d674cd2803e561ca25cbd7ced127d69d9f4f633b,2021-12-03 23:27:31+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1915,1,single,4,0,1.0,14
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1488,1488,d217c86b9061bb502d00fa971b3ea15a70e3299b,2021-03-23 23:08:38+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1488,1,single,7,0,1.0,15
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-734,734,8c51854a7d87c25aa1f5e0dccb9bf621639a8dcd,2020-06-30 18:41:19+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-734,4,multi,91,0,7.0,16
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-625,625,9544b25a1b40710310a3732a52e373b5ee11c242,2020-05-29 18:30:52+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-625,2,multi,20,0,2.0,17
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-2062,2062,3043a42df4e01ed25bb2f5f1b551a02cef52e825,2022-02-27 06:51:37+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-2062,1,single,18,0,1.0,18
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1487,1487,56cb6d636201b9e832bdc90b72a45202172099df,2021-03-23 06:52:24+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1487,2,multi,18,0,1.0,19
facebookresearch/hydra,facebookresearch/hydra,swegym,facebookresearch__hydra-1422,1422,1df6e295301df0eef3dec9b1f5080c6344eeebf3,2021-02-25 01:02:47+00:00,xingyaoww/sweb.eval.x86_64.facebookresearch_s_hydra-1422,1,single,18,0,2.0,20
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6716,6716,a853fd714d133c9a9ca0479cb99537d9a39d85bf,2023-08-22 20:57:43+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6716,1,single,13,0,1.0,1
getmoto/moto,getmoto/moto,swegym,getmoto__moto-7524,7524,31b971f94e86dfb8d35105e1e2fe53a6918b63fb,2024-03-26 20:36:45+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-7524,1,single,2,0,1.0,2
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6755,6755,c59fee5d352e429309ddce7f8350ef70f2003593,2023-09-01 18:25:54+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6755,1,single,8,0,1.0,3
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6121,6121,3adbb8136a3ae81f7d5cb403f4d0a3aa100ee16f,2023-03-23 23:03:13+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6121,1,single,1,0,3.0,4
getmoto/moto,getmoto/moto,swegym,getmoto__moto-5486,5486,b0e78140f5b5f74b0cb3da43e5becc48bbc29cff,2022-09-19 20:30:59+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-5486,1,single,11,0,1.0,5
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6724,6724,b6a582e6244f705c4e3234b25d86e09c2d1d0100,2023-08-24 21:25:58+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6724,2,multi,190,0,1.0,6
getmoto/moto,getmoto/moto,swegym,getmoto__moto-7580,7580,74a59a665a3ffcd6c5c3ff15a6e9759b29a86547,2024-04-08 20:11:46+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-7580,1,single,8,0,1.0,7
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6352,6352,c457c013056c82b40892aae816b324a3ef9aa1a4,2023-05-31 19:15:03+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6352,2,multi,5,0,2.0,8
getmoto/moto,getmoto/moto,swegym,getmoto__moto-7105,7105,85156f59396a85e83e83200c9df41b66d6f82b68,2023-12-09 23:39:02+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-7105,1,single,3,0,11.0,9
getmoto/moto,getmoto/moto,swegym,getmoto__moto-5202,5202,4aa5e4388d4a9a7d4a95c265552e2d4b4c1ba376,2022-06-08 14:54:10+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-5202,1,single,26,0,1.0,10
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6919,6919,368fa07ec35aa6806c839a1f4883426159179127,2023-10-15 19:15:25+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6919,2,multi,82,0,1.0,11
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6586,6586,6843eb4c86ee0abad140d02930af95050120a0ef,2023-08-01 16:59:37+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6586,1,single,119,0,1.0,12
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6578,6578,38b7ffade2b2a72a70386e3cd2878f26414b52a8,2023-07-31 20:54:33+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6578,2,multi,22,0,1.0,13
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6709,6709,78c518ddc832a30e1cf20015bc5c3b1850a1c797,2023-08-21 18:57:36+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6709,4,multi,84,0,14.0,14
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6444,6444,bec9130d4c474674ef2beb3cc4acc756aa270793,2023-06-25 11:19:35+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6444,2,multi,100,0,4.0,15
getmoto/moto,getmoto/moto,swegym,getmoto__moto-5969,5969,3a7f10fece9df37a72adc4c642f26cf208256322,2023-02-23 20:42:17+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-5969,1,single,2,0,1.0,16
getmoto/moto,getmoto/moto,swegym,getmoto__moto-5968,5968,4d6271d1bdec1c5eec5789d7c6cc8ef35566d0c2,2023-02-23 18:02:49+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-5968,3,multi,78,0,1.0,17
getmoto/moto,getmoto/moto,swegym,getmoto__moto-5545,5545,1a8f93dce33f1c1c7983a8052ef54de30ff64407,2022-10-09 10:54:38+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-5545,1,single,12,0,1.0,18
getmoto/moto,getmoto/moto,swegym,getmoto__moto-5752,5752,b2300f1eae1323e3e8bc45f97e530ce129dff12e,2022-12-10 20:23:01+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-5752,1,single,26,0,1.0,19
getmoto/moto,getmoto/moto,swegym,getmoto__moto-6387,6387,7b4cd492ffa6768dfbd733b3ca5f55548d308d00,2023-06-10 03:11:20+00:00,xingyaoww/sweb.eval.x86_64.getmoto_s_moto-6387,1,single,2,0,1.0,20
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6648,6648,112afb6fb455beec67c9ded6f42ffbf378bbbf79,2023-10-13 22:47:12+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6648,5,multi,43,0,1.0,1
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6275,6275,c9f7f6506a5b7503bcd9ec9b9a08d6a008747a52,2023-06-16 13:43:16+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6275,4,multi,141,0,6.0,2
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6798,6798,b8202f127d79b20076126edce85dd63a59e4a677,2023-12-04 05:14:59+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6798,1,single,6,0,1.0,3
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6757,6757,0ba2a46218ecbc6f4b7d0d9e54c25e437e5e0b23,2023-11-20 14:05:03+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6757,2,multi,31,0,1.0,4
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6823,6823,324099d8737ead092e4acacfe03b1caa82e01986,2023-12-13 11:54:16+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6823,2,multi,19,0,1.0,5
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6260,6260,f617c5e6621f051d9c7befc297deec79563115db,2023-06-13 15:59:25+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6260,2,multi,3,0,4.0,6
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6992,6992,a96639529a2e121f24b8c5462e1e76c243b85ede,2024-03-04 08:49:39+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6992,3,multi,46,0,4.0,7
modin-project/modin,modin-project/modin,swegym,modin-project__modin-7160,7160,d2390100802c808b7ca0f612359b365916d6fec1,2024-04-09 16:28:21+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-7160,2,multi,31,0,1.0,8
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6673,6673,41ecc925c9f7b11e385a16f6b664fa2b15b34edd,2023-10-22 23:03:45+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6673,8,multi,131,0,1.0,9
modin-project/modin,modin-project/modin,swegym,modin-project__modin-7208,7208,e9dbcc127913db77473a83936e8b6bb94ef84f0d,2024-04-19 22:03:59+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-7208,1,single,2,0,1.0,10
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6381,6381,60478925aae2ccdcb0bf1666b925a1b0db13a845,2023-07-12 13:14:53+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6381,1,single,20,0,2.0,11
modin-project/modin,modin-project/modin,swegym,modin-project__modin-5946,5946,9159d813926816c840e53d6e8ecf43e2765a9e9c,2023-04-05 19:16:03+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-5946,3,multi,17,0,1.0,12
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6370,6370,58f850d20bbb3aba5fc592bff4003ebfdc81b68a,2023-07-07 15:37:41+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6370,2,multi,22,0,1.0,13
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6980,6980,f601f8a9d602c70333548df3ef5e3c953df04f37,2024-02-28 18:08:46+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6980,1,single,28,0,1.0,14
modin-project/modin,modin-project/modin,swegym,modin-project__modin-7189,7189,6d64e08fc8e124b7a6ba2aecd4062dfe7fef90f1,2024-04-16 15:47:06+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-7189,1,single,43,0,2.0,15
modin-project/modin,modin-project/modin,swegym,modin-project__modin-7055,7055,4ab68c6c4b25f987c259754a5399da5df5b3608f,2024-03-12 11:19:21+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-7055,1,single,4,0,1.0,16
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6969,6969,e36749008fdf277d08f01c5dc675edb1b8d62512,2024-02-26 15:21:54+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6969,2,multi,18,0,4.0,17
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6785,6785,76d741bec279305b041ba5689947438884893dad,2023-11-30 01:49:02+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6785,1,single,18,0,3.0,18
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6941,6941,6dfe13fb5468c3fbac85e11fcbc9a64b30d14ac7,2024-02-16 15:45:50+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6941,2,multi,41,0,1.0,19
modin-project/modin,modin-project/modin,swegym,modin-project__modin-6737,6737,8a332c1597c54d36f7ccbbd544e186b689f9ceb1,2023-11-13 12:07:50+00:00,xingyaoww/sweb.eval.x86_64.modin-project_s_modin-6737,2,multi,141,0,59.0,20
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-5506,5506,614c2ca8a75a26fd1454810446ec05682d119766,2022-11-10 10:02:40+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-5506,4,multi,42,0,12.0,1
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-4297,4297,fdec959cc2fbe9f09ed8d95a26bf24a206de8113,2022-05-19 14:15:38+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-4297,1,single,4,0,2.0,2
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-1765,1765,55885283d5055f673fdca5f83156044649e5560c,2021-03-15 09:48:18+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-1765,2,multi,123,0,12.0,3
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-5503,5503,d51edc3ddf8450f3c7b612971188313863f9aa25,2022-11-09 16:51:26+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-5503,2,multi,20,0,26.0,4
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-3107,3107,712d90ba845e3d486f91636da0a4d7eeabfb7e52,2021-10-11 15:46:28+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-3107,1,single,8,0,1.0,5
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-543,543,d42f15dd02e88fe0077163db5bb5efeb407c8f35,2020-06-12 05:49:24+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-543,3,multi,56,0,2.0,6
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-3001,3001,790fc8f572322c6a4c1ab527acfb27447be4bb66,2021-09-22 11:53:50+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-3001,1,single,16,0,1.0,7
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-6139,6139,3b6b11a815b2de9e2b1bc1f1dbbca4e66189458f,2023-03-13 19:03:43+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-6139,1,single,16,0,2.0,8
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-5807,5807,315d2d2fc29a83fc863bfcb6088e8d06f6cae027,2023-01-04 21:07:43+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-5807,3,multi,62,0,8.0,9
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-4689,4689,1b73fef49b5df53db984d95ae535cdcc1faf6236,2022-07-13 11:49:56+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-4689,4,multi,146,0,22.0,10
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-3157,3157,e641722c735961554f8e9d3048836a7e2d5eb184,2021-10-20 17:01:50+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-3157,4,multi,110,0,1.0,11
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-3619,3619,3907cb4b6ba79887a649ffc17f45ed9bebcd0431,2022-01-09 13:53:06+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-3619,1,single,12,0,2.0,12
Project-MONAI/MONAI,project-monai/monai,swegym,Project-MONAI__MONAI-5473,5473,27362e482761985daac8d5ef732eb57b50c741f1,2022-11-04 17:40:27+00:00,xingyaoww/sweb.eval.x86_64.project-monai_s_monai-5473,2,multi,47,0,1.0,13
